"deviance","gbar","gdbar","gdres","gdsig","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
680.5,1.048,3.229,-1.763,4.914,-1.104,0.01777,0.3579,-1.08,3.242,18.77,4.398,-4.627,-2.231,-3.549,-9.061,-21.97,0.1597,0.3635,17.46,18.36,17.75,20.11,16.14,23.86,16.14,17.63,4.255
686.8,0.6686,1.859,-1.059,4.984,-0.8718,0.3159,0.5553,-1.455,1.711,20.85,3.765,-5.029,-2.425,-5.197,-9.061,-19.97,-0.0489,1.056,17.8,22.63,21.07,23.16,24.75,25.1,15.93,16.82,3.159
678.9,0.6686,1.912,-0.3776,4.975,-0.7682,0.5969,0.7909,-0.967,1.442,20.8,3.229,-4.967,-2.082,-5.17,-9.643,-14.95,-0.2137,1.501,18.12,22.11,24.68,15.78,17.8,22.06,19.62,16.87,2.708
699.6,0.8221,2.48,-1.563,4.845,-0.929,-0.2037,0.2581,-0.7891,4.05,20.64,3.308,-4.339,-2.01,-5.248,-9.462,-13.87,-0.1125,1.501,18.48,22.38,21.08,16.49,13.03,22.16,21.95,17.92,3.211
689.2,0.7611,2.245,-0.8155,4.954,-0.929,0.2363,0.2106,-0.9908,1.332,17.86,3.586,-4.161,-1.871,-5.416,-8.527,-6.101,-0.8049,1.614,18.21,21.89,16.79,15.37,22.81,21.54,21.8,16.58,4.147
694.8,0.4972,2.457,-1.359,4.999,-0.7393,0.2525,0.4155,-0.9065,4.003,21.27,3.583,-5.011,-1.474,-4.749,-8.543,-8.141,-0.4526,1.719,18.01,21.89,24.66,19.54,22.81,14.25,18.37,17.7,4.12
700.6,0.5632,2.535,0.1613,4.984,-0.9818,0.07463,1.04,-0.6915,1.258,19.55,3.667,-4.74,-1.124,-4.463,-9.365,-8.138,-0.3691,2.499,17.61,21.51,20.33,19.74,16.85,16.3,17.86,17.5,1.73
701.6,0.4044,2.721,-0.8205,4.872,-1.055,0.2884,0.9522,-0.759,2.027,17.11,3.447,-4.966,-1.469,-4.185,-9.579,-12.8,-0.3691,2.4,18.25,17.06,17.41,17.47,17.92,15.65,18.6,17.65,0.9364
685.3,0.9973,2.863,-0.6078,4.925,-1.044,-0.1595,0.8006,-0.1305,2.062,16.41,3.508,-5.512,-1.776,-4.098,-9.609,-15.56,-0.474,2.283,18.01,17.06,13.75,15.35,15,14.05,19.06,17.62,2.211
687.7,0.8829,3.809,-1.457,4.875,-1.109,0.111,2.048,-1.442,3.187,16.62,3.348,-4.996,-2.07,-4.237,-10.05,-19.07,-0.1657,2.087,17.39,16.19,16.84,14.66,15,15.05,15.68,17.88,1.027
686.7,0.7482,1.823,-1.184,4.963,-0.9241,0.1239,0.7609,-0.8932,1.204,16.69,3.948,-5.33,-2.016,-4.545,-9.916,-9.641,0.2603,1.46,16.79,17.52,15.26,15.14,18.22,17.48,16.41,18.08,1.737
695.9,0.4709,2.51,-2.586,4.913,-0.7647,0.5361,0.4866,-1.342,2.08,17.51,3.791,-5.486,-2.167,-4.075,-10.89,-12.6,0.1971,0.9531,16.79,18.42,17.85,16.69,14.16,16.05,16.66,17.02,1.049
696.4,0.5513,2.992,-0.4196,4.881,-0.8975,0.3066,0.2547,-1.339,4.261,16.81,4.001,-5.536,-2.106,-5.218,-10.97,-14.07,-0.1125,0.9605,16.97,18.59,13.15,16.48,14.28,16.93,16.36,16.43,1.609
694.8,0.762,1.526,-0.06028,4.941,-0.6518,-0.04276,0.1581,-1.105,4.339,15.13,4.001,-5.51,-2.094,-5.228,-10.47,-4.23,0.2791,1.138,16.76,12.99,16.66,15.86,13.18,20.34,16.1,15.98,3.133
692.1,0.728,2.38,0.354,4.945,-0.7095,0.06835,0.4473,-0.9375,3.183,14.94,4.136,-4.955,-2.49,-5.356,-9.959,-10.21,0.3988,0.3864,16.07,14.15,17.7,16.75,13.18,15.57,16.57,16.1,1.529
691.4,0.6997,2.307,-0.1815,4.949,-0.9367,0.05853,0.5348,-0.7986,2.487,16.71,4.136,-4.885,-2.483,-5.361,-10.25,-4.23,-0.02654,-1.245,15.78,15,17.4,18.03,18.64,16.09,16.09,16.24,1.501
694,0.6024,3.503,-0.1951,4.994,-0.9367,0.1633,0.2713,-1.108,3.99,16.48,3.153,-4.404,-2.778,-5.449,-10.07,-5.4,0.229,-1.014,16.18,16.02,16.3,16.69,15.1,17.45,16.54,16.57,0.8443
686.2,0.7257,2.718,-0.1197,4.969,-0.5921,0.03832,0.4492,-0.9539,4.697,16.44,2.693,-3.973,-2.028,-5.66,-9.984,2.926,0.1457,-1.768,16.62,16.02,17.46,18.54,15.1,15.39,15.88,16.46,1.333
