"deviance","gbar","gdbar","gdres","gdsig","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
8818,2.889,9.33,4.686,5,-0.6735,-0.7887,1.424,0.6432,4.095,3.217,2.907,-4.226,-5.728,-2.35,5.521,0.1887,-3.957,10.78,2.432,5.205,2.327,2.448,8.551,3.477,4.717,4.01,4.611
8791,3.141,9.307,4.925,5,-0.9329,-0.8655,1.431,-1.609,3.6,3.355,2.951,-4.591,-5.83,-2.625,5.392,1.865,-4.243,10.65,3.168,4.502,3.686,2.629,3.452,3.029,4.555,4.291,0.9773
8804,2.835,9.582,5.064,5,-0.3957,-0.6811,0.7705,-0.5788,2.684,3.943,3.223,-4.411,-6.033,-2.768,5.486,2.446,-4.405,10.2,3.214,4.681,4.499,2.662,3.246,3.202,4.139,4.02,0.7238
8803,2.919,9.193,4.665,5,-0.6581,-0.7706,0.2316,-0.9537,3.691,3.414,3.317,-4.228,-6.07,-2.956,5.374,-1.82,-4.529,10.57,3.378,4.304,2.785,3.385,3.379,3.17,4.885,3.877,0.638
8825,2.77,9.384,4.637,4.999,-0.9434,-0.853,0.924,-0.2051,3.883,3.423,3.148,-4.076,-5.708,-2.428,4.105,-1.633,-4.47,10.25,2.408,1.616,4.139,3.742,5.002,2.423,3.601,4.174,1.686
8794,2.992,9.446,5.059,4.999,-0.6024,-0.6701,1.064,-0.2395,3.381,2.398,3.364,-4.512,-5.124,-2.48,3.978,-2.64,-4.649,10.47,2.541,6.168,3.006,4.044,1.596,3.004,2.149,4.289,1.552
8799,2.866,9.223,4.748,4.997,-0.5767,-0.5829,0.6476,-0.2535,2.896,3.048,3.302,-4.382,-5.045,-2.381,4.053,-3.92,-4.676,10.05,2.704,3.64,2.37,3.436,3.797,1.475,2.397,3.912,0.9144
8803,2.964,9.331,4.648,4.999,-0.7878,-0.7978,3.091,1.085,3.817,3.359,3.721,-4.342,-5.063,-2.597,4.053,-11.55,-4.507,9.435,2.441,2.679,3.887,3.457,3.497,2.547,2.171,3.101,0.7868
8803,2.965,9.481,4.505,4.998,-1.032,-0.6938,3.059,-1.051,3.745,2.565,3.289,-4.483,-5.028,-2.596,4.305,-9.851,-4.372,9.308,2.501,2.378,3.47,2.867,4.304,1.885,3.006,3.196,0.7131
8824,2.757,9.27,4.86,4.999,-0.6821,-0.8781,2.201,-2.024,3.051,2.191,3.422,-4.409,-4.853,-2.612,4.309,-11.73,-4.208,9.051,2.195,2.165,1.636,1.643,2.393,1.84,3.341,2.907,0.7375
