"deviance","gbar","gdbar","gdres","gdsig","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
8387,3.59,8.653,3.516,4.999,-0.9996,-0.4703,4.29,0.5975,2.007,3.025,0.0866,0.1633,-9.235,3.637,4.933,-16.66,-1.55,9.434,3.641,4.596,4.437,4.8,2.731,0.56,3.313,3.254,3.008
8387,3.267,8.505,3.635,4.996,-0.219,-0.2752,1.043,-0.627,4.366,4.413,0.1292,-0.07854,-9.592,3.558,4.74,-16.96,-1.429,9.621,3.732,2.139,1.991,4.8,8.717,0.3858,3.401,3.058,2.081
8353,3.822,8.657,3.509,4.999,-0.5894,0.2073,0.167,-0.6895,4.794,3.441,0.2169,-0.2035,-9.437,3.435,4.583,-18.56,-1.436,9.869,3.626,3.866,2.887,5.364,7.977,0.9925,3.437,2.818,1.439
8360,4.272,8.932,3.663,4.999,-1.341,-0.6836,0.1796,-0.7751,2.407,2.877,0.0615,-0.6329,-9.579,3.44,4.957,-17.14,-1.69,9.786,3.721,4.37,4.153,5.364,3.311,-0.1181,3.132,2.61,1.277
8380,3.836,8.496,3.444,4.999,-1.385,-0.5464,0.1216,-0.6012,4.588,3.65,0.3233,-0.8331,-9.596,3.46,5.032,-12.84,-1.78,9.421,3.583,4.37,3.746,4.825,3.311,2.072,5.023,2.611,1.658
8362,4.57,8.779,3.509,4.998,-1.78,-1.008,0.3135,-0.4554,4.971,3.526,0.2556,-0.6084,-9.856,3.663,4.902,-1.884,-1.599,9.014,3.451,4.37,4.342,4.763,2.728,2.29,4.8,2.505,0.684
8366,3.869,8.598,3.657,4.998,-1.054,-0.837,0.3202,-0.3758,4.425,4.161,0.5005,-0.5383,-10.21,3.68,4.662,-11.78,-1.548,9.357,3.833,5.454,5.265,4.808,4.44,2.24,4.8,3.009,0.9504
8349,4.032,8.805,3.326,5,-0.7974,-0.3575,0.2408,-0.6059,3.323,2.894,0.8533,-0.1713,-9.672,3.611,4.698,-10.11,-1.709,9.589,3.934,2.877,3.954,4.628,4.781,-0.9405,5.409,3.414,2.319
8371,3.883,9.15,3.287,4.999,-1.104,-0.4319,0.3252,-0.7219,3.136,4.458,0.7391,-0.1556,-9.503,3.789,4.502,-10.52,-1.776,9.64,4.555,6.108,3.946,4.628,1.936,-1.069,5.462,3.493,2.701
8362,3.83,8.877,3.689,4.999,-1.004,-0.3794,0.1168,-0.7862,4.225,3.02,0.5691,-0.1442,-9.57,3.818,4.546,-14.94,-1.562,10.04,4.709,6.207,4.747,4.776,5.275,0.6259,3.077,3.552,2.2
8354,3.914,8.621,3.621,4.999,-0.3667,0.1182,0.3657,-0.6204,4.186,2.787,0.3695,0.001392,-9.695,3.905,5.185,-15.73,-1.427,9.676,4.602,3.919,2.119,4.776,1.257,0.4872,3.128,3.751,3.857
8365,3.969,8.778,3.94,4.997,-0.3885,-0.4292,0.2395,-0.2236,4.857,3.942,0.2545,-0.03087,-9.448,4.153,5.188,-8.397,-1.326,9.661,4.27,4.636,3.991,4.776,1.355,0.8055,3.128,3.64,1.387
8383,3.532,8.869,3.765,4.998,-1.134,-0.5244,0.3958,-0.3852,4.882,2.556,0.2422,0.279,-9.738,4.3,5.748,-4.709,-1.501,9.483,4.682,4.636,4.849,5.666,1.355,1.958,2.943,3.123,2.053
8368,3.933,8.698,3.61,4.997,-1.134,-0.6583,0.7174,-0.5103,2.296,3.014,0.3785,0.6928,-9.648,4.47,6.051,-5.243,-1.591,9.445,4.224,2.124,4.366,5.666,1.313,3.051,3.337,3.126,0.9494
8356,4.014,8.624,3.512,5,-0.8191,-0.3564,0.338,-0.3598,3.158,5.65,0.02505,0.8166,-9.726,4.514,6.07,-5.784,-1.523,9.055,4.034,8.44,6.569,9.225,2.119,5.421,4.343,3.178,2.934
8365,3.771,8.728,3.375,5,-0.9151,-0.02329,0.03667,-0.8366,2.401,5.172,0.4536,0.8991,-10.14,4.372,6.316,0.691,-1.652,9.177,3.968,7.527,5.458,8.783,6.115,4.898,4.343,3.222,1.661
8358,3.785,8.611,3.29,5,-0.7453,0.0896,0.05066,-0.7769,3.651,4.896,0.7147,0.7144,-10.48,4.406,6.55,1.469,-1.607,9.213,3.343,4.704,5.09,5.318,5.626,4.928,5.552,3.515,0.7651
