"deviance","gbar","gdbar","gdres","gdsig","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
399.1,0.2747,9.248,2.258,4.669,-0.2831,0.404,4.285,-3.461,1.372,11.56,-12.4,3.468,1.845,2.799,19.73,-12.6,-9.79,-1.144,10.74,12.73,12.24,12.06,14.97,10.95,9.211,12.02,1.391
381.7,0.2368,6.838,1.493,4.953,0.1013,0.5628,3.864,-3.814,0.6512,14.4,-12.79,3.48,1.916,2.83,18.83,12.14,-9.284,-0.7431,9.7,15.01,15.03,11.1,11.92,10.13,12.5,12.33,2.609
367.3,0.5948,5.467,-0.5103,4.764,-0.1397,0.5873,2.149,-2.168,0.1089,11.2,-13.07,3.248,2.468,2.903,17.91,-9.033,-9.152,-0.6607,10.25,10.97,14.98,14.12,17.85,10.14,12.3,12.53,3.031
370.6,0.5803,5.765,2.362,4.801,-0.262,0.4093,2.418,0.8209,0.1308,11.15,-12.56,3.054,3.248,2.811,18.53,4.673,-8.999,-1.071,10.25,13.05,11.65,12.92,17.49,8.955,14,13.26,3.422
393.6,0.2702,6.867,0.1946,4.959,-0.2316,0.4353,2.392,-0.5742,1.195,11.9,-12.33,3.961,2.425,2.49,18.34,13.87,-10.26,-0.9403,11.22,12.5,12.03,12.87,14.4,9.086,11.56,13.17,1.816
393.7,0.3359,6.909,-1.784,4.986,-0.1116,0.7381,0.9129,-0.5474,0.5928,10.65,-12.9,4.169,2.373,2.658,18.69,14.06,-9.972,-0.5059,11.06,7.542,7.985,9.506,4.561,10.13,11.66,13.02,2.873
377.3,0.4132,6.785,-0.3648,4.964,-0.1767,0.4982,1.727,1.377,1.668,9.228,-13.53,4.082,2.995,2.997,17.3,-3.177,-10.24,-1.061,11.52,5.81,10.3,11.86,6.353,8.924,9.297,13.45,3.563
386.7,0.3098,7.269,-1.805,4.852,-0.05957,0.5236,2.071,-1.052,2.392,9.169,-12.97,3.73,3.219,2.823,18.29,3.272,-10.21,-1.645,10.42,8.779,10.37,11.41,6.247,9.153,8.564,14.41,3.189
362.5,0.7544,7.222,-0.2589,4.793,-0.6778,0.154,1.545,-1.747,2.379,14.43,-13.92,3.862,4.636,2.755,18.79,-7.781,-10.88,-2.259,10.35,13.46,10.43,10.96,9.453,15.89,11.36,13.99,3.15
382.3,0.5499,6.632,1.943,4.587,-0.4655,0.3553,2.936,-1.404,2.889,12.98,-13.78,3.686,3.797,2.963,20.53,-17.51,-10.77,-2.193,10.77,10.25,10.93,10.93,14.75,15.75,10.46,13.75,2.782
