"deviance","gbar","gdbar","gdres","gdsig","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
368.6,0.3544,4.767,6.011,4.942,-0.5508,0.2491,1.573,-0.6931,1.483,-1.892,-13.95,1.08,-8.595,0.4199,6.667,5.786,-25.94,-4.005,-2.794,-9.224,-4.512,-6.77,-3.235,-8.578,6.339,0.1745,4.824
342.4,0.6072,4.471,5.65,4.981,-0.6095,-0.01797,2.528,0.5017,0.7183,-2.398,-13.98,0.7319,-8.423,0.6259,7.563,2.306,-23.99,-4.301,-3.922,-3.733,-5.841,-5.861,8.379,-8.463,3.974,0.04475,3.987
360.4,0.4505,4.308,5.553,4.993,-0.5623,0.2034,2.66,-2.727,2.734,-3.177,-14.12,2.323,-9.849,0.4906,7.043,6.395,-23.7,-4.272,-3.209,-6.525,-2.042,-4.332,-6.487,-5.835,0.8671,-1.014,2.649
365.5,0.3354,5.837,6.627,4.868,-0.5924,-0.08516,4.844,-0.1268,2.679,-3.226,-16.08,2.375,-9.849,0.7434,7.246,5.917,-23.2,-4.446,-3.326,-9.279,-1.888,-8.142,-2.193,-7.306,1.127,-1.227,3.745
366.9,0.2596,6.331,6.054,4.864,-0.4357,0.1103,1.697,-0.366,1.891,-3.62,-17,1.844,-9.799,0.5229,7.288,5.917,-22.8,-4.597,-2.608,-4.188,-1.39,-6.733,5.545,-5.407,2.709,0.2162,4.695
349.3,0.4329,5.996,3.421,4.891,-0.3866,0.2419,4.722,-0.7119,2.903,-5.01,-17.05,2.351,-10.16,0.3371,7.428,2.683,-24.12,-3.628,-4.495,-6.008,1.595,-6.807,1.236,-4.648,1.567,-0.338,3.84
383.8,0.1635,4.131,2.844,4.765,-0.4927,0.2594,3.343,-3.866,1.723,-2.584,-18.03,2.34,-10.3,0.967,7.888,0.9907,-26.46,-4.063,-3.982,-6.603,-1.356,-6.071,-1.636,-4.415,-0.2129,0.1165,3.106
369.1,0.3233,3.54,4.872,4.617,-0.4987,0.1357,3.961,-0.5684,2.109,-0.9323,-18.35,1.752,-9.904,1.325,7.682,-0.9501,-27.52,-3.74,-3.702,-0.6452,0.3099,-5.252,-1.025,-4.157,0.9798,0.2976,2.683
366.2,0.2766,4.824,3.588,4.714,-0.4334,-0.00727,2.43,-1.281,1.97,-0.9922,-18.62,1.941,-10,1.403,7.121,-0.0924,-27.19,-3.694,-4.635,-1.991,-0.7761,-4.008,-5.602,-6.869,-1.236,-0.09364,2.991
351.1,0.4743,3.968,5.911,4.769,-0.5579,-0.0237,3.88,2.952,1.313,-4.006,-18.71,3.202,-9.714,1.464,7.266,4.578,-27.95,-3.842,-4.328,-4.66,-3.772,-7.301,-5.368,-7.433,-0.2858,-0.003817,3.562
366.9,0.2413,7.443,5.339,4.826,-0.3171,0.2821,4.504,0.9283,3.387,-4.887,-19.36,1.924,-9.588,1.888,7.489,0.2321,-28.36,-2.698,-5.378,-4.05,-1.95,-6.696,-3.942,-8.555,1.665,-0.4551,4.268
