"deviance","gbar","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
226.5,0.7731,-0.4499,-0.05762,4.241,-1.275,3.315,4.177,-13.15,-1.883,-4.557,2.033,3.082,-9.221,-12.77,-2.104,7.186,5.499,3.554,3.616,5.85,4.753,4.69,4.288,1.134
232.7,0.7731,-0.6565,-0.01681,4.049,1.193,1.773,3.587,-13.19,-2.158,-4.55,2.206,3.678,-10.23,-12.65,-2.199,5.979,2.827,0.796,3.447,1.356,2.932,5.198,4.459,1.525
247.6,0.4688,-0.2614,0.1757,3.622,1.149,1.996,2.348,-12.55,-2.407,-4.964,1.986,3.276,-10.74,-13.01,-2.2,5.852,4.6,-0.1992,2.139,-0.6752,0.183,4.22,3.662,1.524
245,0.4609,-0.2837,0.09271,2.453,-1.097,4.536,2.814,-12.82,-2.422,-4.431,1.747,3.533,-11.58,-13.35,-1.888,5.795,2.867,1.107,1.382,1.511,0.9627,3.962,3.516,1.908
232.7,0.7188,-0.1532,0.2748,2.528,-0.2927,2.051,2.303,-12.99,-1.97,-4.5,1.226,3.979,-11.93,-12.6,-1.349,4.407,2.359,0.9616,1.771,1.358,1.964,4.33,3.247,1.383
232.9,0.6767,-0.3825,0.1517,0.9915,-1.086,1.683,2.9,-13.47,-2.221,-4.302,0.922,4.033,0.9883,-11.96,-1.204,5.695,7.926,-1.436,2.804,9.041,3.031,4.454,2.77,4.547
226.1,0.7022,-0.2688,0.1185,4.315,-2.066,2.262,2.512,-13.54,-1.638,-4.428,0.7974,5.423,-9.815,-11.69,-1.253,4.036,3.848,-3.07,0.7654,-4.044,2.659,3.778,3.034,2.568
231.3,0.7441,-0.3893,0.01246,2.418,-2.726,2.547,2.013,-13.14,-1.39,-3.314,1.319,5.518,-6.911,-11.22,-1.18,3.23,1.008,0.569,1.812,-6.42,1.558,4.95,3.661,2.968
227.2,0.7701,-0.5213,-0.05503,2.455,-0.939,1.537,2.442,-12.32,-1.346,-3.767,1.51,5.78,-0.9683,-11.75,-1.036,2.783,2.265,2.859,2.563,6.523,1.161,3.665,3.569,1.524
243.6,0.7581,-0.6231,-0.001533,3.167,1.447,3.086,2.804,-11.84,-0.8626,-3.63,1.422,5.831,0.2114,-12.46,-1.283,3.137,4.334,2.856,2.155,2.474,1.783,3.698,3.128,1.02
239.3,0.6657,-0.3871,0.1924,2.031,-1.78,1.651,2.566,-10.85,-0.2258,-3.495,1.294,5.06,1.651,-11.96,-0.9061,3.159,1.735,2.605,2.869,2.474,2.269,4.13,2.719,0.5362
216.2,0.9366,-0.323,0.2374,2.637,-0.4089,1.999,3.302,-10.83,-0.1145,-3.418,1.488,5.131,14.37,-12.52,-0.9395,2.63,6.887,-0.566,3.69,3.885,-1.752,3.951,2.734,2.472
228.4,0.8079,-0.5745,-0.03962,1.37,-0.2756,2.874,5.057,-10.79,0.004486,-3.172,1.383,5.226,12.61,-12.57,-1.092,1.918,9.691,-3.441,3.826,8.034,-1.356,3.572,2.705,3.845
222.3,0.8253,-0.5247,0.1313,3.462,2.617,0.8849,1.096,-10.58,0.5013,-3.158,1.356,4.71,5.627,-12.6,-1.417,1.885,0.03682,-0.3309,3.077,1.925,-0.4388,3.722,2.851,1.683
