"deviance","gbar","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
243.5,0.4318,-0.5928,0.08415,1.306,-1.093,3.269,10.22,-19.62,-1.878,-4.48,6.654,8.399,14.56,-12.9,5.912,10.98,6.473,11.52,12.24,9.526,12.98,10.94,6.673,4.196
251.2,0.4456,-0.7898,-0.006855,1.629,-0.9844,1.456,12.33,-18.49,-1.973,-5.273,6.857,9.013,10.04,-13.79,6.217,10.84,9.564,9.344,12.52,10.26,13.41,10.75,7.467,2.788
246.7,0.5137,-0.9565,-0.1195,2.395,0.5236,4.403,10.16,-18.56,-2.261,-5.075,5.723,8.537,-3.806,-13.52,6.18,10.82,13.64,7.157,11.7,8.472,13.6,9.034,7.38,2.685
231.6,0.5271,-0.8174,-0.1474,4.561,-1.074,1.613,9.632,-20.14,-3.157,-4.249,5.729,7.888,-7.945,-12.86,6.093,10.33,16.74,3.853,11.83,9.071,12.82,9.185,7.117,4.224
245.8,0.4292,-0.6588,0.05143,4.765,-1.415,3.194,11.79,-20.99,-3.521,-3.538,5.709,6.988,-10.93,-12.63,6.004,11.12,18.98,5.14,10.01,11.66,12.07,12.72,7.226,4.192
236.3,0.4085,-0.6904,0.05143,4.198,-1.916,3.661,9.971,-21.75,-3.87,-4.163,5.627,7.316,0.07075,-11.78,5.592,11.2,16.13,4.654,5.929,13.27,14.22,12.74,6.776,3.245
229.5,0.4795,-0.6586,-0.08711,3.144,-1.095,0.7884,11.24,-21.5,-4.526,-3.376,6.057,8.127,-6.034,-11.72,5.073,11.16,15.26,7.33,5.978,10.8,14.28,13.65,7.199,3.577
254.1,0.3363,-0.6729,0.07702,3.204,-0.1456,2.661,9.231,-20.91,-4.291,-3.615,6.376,7.472,-6.132,-13.27,5.261,12.71,14.08,5.59,7.728,4.031,15.46,14.25,7.855,4.896
253.2,0.2723,-0.5363,0.1621,3.713,1.545,2.321,10.38,-21.51,-4.116,-3.716,6.566,8.421,0.8041,-12.92,4.822,12.14,14.03,4.049,8.957,11.3,17.34,11.84,8.973,4.021
249.9,0.3758,-0.6402,-0.008862,3.515,2.328,3.597,10.38,-21.28,-4.112,-5.162,6.903,8.02,4.441,-12.17,3.859,13.09,14.7,5.357,8.957,15.98,16.6,14.98,9.741,4.47
237.3,0.5408,-0.4918,0.2255,2.836,-0.5456,0.9255,15.47,-20.92,-4.546,-5.9,6.781,7.961,-2.407,-11.68,4.27,13.48,17.49,3.523,5.609,13.99,16.62,12.89,9.601,4.064
230.1,0.5472,-0.5397,0.06501,4.182,1.696,1.172,12.29,-20.99,-4.48,-5.845,6.776,7.55,-1.544,-11.11,4.293,11.93,19.23,8.735,9.043,10.84,13.59,15.94,9.137,3.223
258.7,0.3132,-0.6469,0.2128,3.175,-0.03918,1.652,14.18,-20.31,-4.016,-6.15,7.176,7.026,-4.153,-11.38,4.286,12.89,19.96,15.47,8.176,11.94,13.42,16.8,9.437,3.847
245.2,0.4722,-0.6651,-0.01051,4.521,-2.477,1.565,13.96,-20.41,-3.622,-5.928,7.397,6.397,-5.433,-12.53,4.339,13.54,14.72,11.15,8.268,4.955,11.16,18.46,9.463,4.283
254.9,0.4428,-0.9048,-0.08092,2.548,0.5159,1.751,14.18,-20.21,-3.908,-6.975,7.632,5.893,11.08,-12.55,4.475,13.81,16.43,12.65,7.156,20.36,9.164,16.7,9.465,3.832
249.4,0.5665,-0.9526,-0.169,2.844,-1.935,4.842,11.95,-20.14,-3.699,-6.14,7.762,5.918,6.516,-12.65,4.69,10.98,15.47,13.62,8.256,10.16,8.1,18.38,9.506,4.149
235.7,0.6072,-0.6407,0.1392,2.943,1.378,1.45,10.57,-20.39,-3.382,-4.705,7.618,5.402,12.6,-12.66,4.842,11.65,15.57,11.09,9.476,15.61,10.09,12.83,9.918,2.28
246.3,0.3044,-0.461,0.1392,2.934,-1.394,3.418,10.66,-20.67,-4.437,-4.782,7.291,5.751,22.26,-12.21,4.407,11.92,11.26,10.29,8.777,12.8,9.779,11.62,9.708,1.582
266.9,0.2665,-0.862,-0.0898,4.901,0.9752,4.167,9.299,-20.93,-4.326,-5.403,7.426,6.244,16.83,-11.29,4.482,11.49,9.129,10.07,6.975,9.522,9.665,10.06,9.357,1.175
234.1,0.6621,-0.7783,-0.1578,3.04,0.9534,3.54,9.44,-21.16,-4.093,-5.221,7.429,6.934,12.04,-12.23,4.889,11.44,9.886,8.906,8.067,11,10.37,11.48,9.254,1.228
236.9,0.5592,-0.6874,0.09607,2.421,0.1857,0.3198,9.915,-22.72,-3.769,-5.109,7.282,6.978,1.398,-14.04,5.133,11.21,9.465,9.476,6.883,14.06,11.19,10.41,9.539,1.511
252.9,0.259,-0.5343,0.09607,2.546,-1.692,1.975,11.18,-22.4,-2.778,-5.109,7.392,6.925,3.769,-14.18,4.452,11.77,12.53,9.958,5.198,6.275,9.992,10.49,10.05,3.874
237.9,0.5332,-0.5686,-0.2522,1.032,-1.168,2.358,9.211,-22.98,-3.396,-4.598,6.362,8.322,-1.897,-13.96,4.397,12.23,8.951,11.44,5.032,9.496,7.565,9.773,10.55,2.435
249.1,0.4138,-0.9323,-0.1661,4.076,-2.542,2.552,12.01,-22.82,-3.046,-4.503,6.508,8.513,-6.156,-13.82,4.994,12.09,10.61,16.58,5.901,11.22,8.842,13.39,11.1,3.624
240.8,0.5248,-0.8891,-0.1659,4.946,4.803,4.969,10.61,-22.89,-2.885,-4.539,5.952,8.531,-9.009,-14.3,5.216,11.46,6.841,15.96,6.626,5.103,9.015,16.76,10.76,4.265
248.8,0.5191,-0.8142,-0.1378,1.289,-1.6,2.484,10.96,-23.39,-2.613,-3.931,6.363,8.317,-3.292,-13.95,5.28,10.37,11.53,13.61,7.495,11.07,6.269,15.59,10.41,3.736
260.2,0.1735,-0.3622,0.05978,2.889,-3.185,3.955,12.35,-23.99,-2.864,-4.606,6.658,8.174,-0.2992,-12.94,4.755,10.37,12.31,14.8,8.43,9.07,6.48,13.56,9.943,3.078
249.6,0.3396,-0.6921,-0.02097,2.876,2.413,0.05835,8.149,-24.38,-3.068,-3.997,6.038,8.017,-0.4243,-13.01,4.533,9.37,7.529,16.17,7.792,3.427,7.109,14.97,10.63,3.737
235.7,0.4631,-0.6829,0.113,2.963,-0.6533,1.196,7.961,-24.74,-3.077,-3.88,5.911,8.272,-3.209,-12.77,4.156,9.129,5.202,16.25,7.075,4.227,7.19,13.68,10.3,3.856
243.9,0.422,-0.7578,-0.0201,3.321,-0.4121,0.8615,8.714,-23.34,-3.191,-3.951,5.615,8.592,-1.234,-12.93,4.92,9.852,7.5,18.39,6.399,7.604,5.733,11.78,10.15,4.445
237.8,0.405,-0.5985,-0.04124,4.91,-4.124,2.136,11.78,-23.92,-3.51,-3.846,4.99,7.884,13.25,-12.41,5.232,12.07,6.643,21.09,4.018,5.529,8.044,12.16,9.856,3.821
233.5,0.4426,-0.6411,0.004891,4.379,2.768,0.5447,11.88,-25.29,-3.414,-3.959,5.367,8.047,4.871,-13.02,4.835,8.892,9.49,20.99,5.481,12.63,8.612,14.73,9.939,3.917
235,0.3915,-0.5575,-0.06848,4.41,2.877,3.921,9.814,-25.94,-3.238,-4.09,5.231,10.53,2.176,-12.2,5.229,8.843,7.802,21.83,5.789,4.868,8.992,10.01,9.308,3.356
244.5,0.2321,-0.4664,0.07249,3.459,0.4093,0.03436,10.75,-25.23,-3.246,-4.287,5.151,9.476,-0.1246,-12.04,5.889,8.969,14.54,17.95,6.208,16.62,10.32,9.681,9.296,3.761
221.4,0.6477,-0.6231,-0.1081,2.615,-0.4715,0.63,10.62,-25.41,-1.927,-5.642,4.899,8.583,0.4013,-12.45,5.959,10.62,13.43,15.21,5.076,14.06,10.52,8.38,10.64,3.532
237.5,0.4832,-0.6875,-0.2113,2.816,0.4037,3.481,11.02,-25.49,-1.987,-4.517,5.317,7.94,3.316,-13.2,5.719,11.25,11.21,13.94,7.228,9.568,11.48,11.81,11.09,1.963
239.7,0.4605,-0.8148,-0.2334,4.009,-1.471,1.281,10.55,-25.64,-2.072,-3.413,5.602,8.029,8.169,-13.7,5.314,12.99,14.03,11.21,8.275,7.78,12.03,11.61,10.76,1.916
225.2,0.6242,-0.7954,-0.3632,2.867,1.705,2.897,10.41,-25.17,-2.371,-4.233,5.421,8.246,2.877,-13.25,4.916,13.58,11.61,11.7,6.194,11.75,11.5,10.44,10.93,2.924
234.7,0.5935,-0.6701,-0.003287,3.316,-3.996,1.066,10.72,-25.86,-2.186,-3.808,5.49,8.354,7.934,-14.03,5.163,11.3,9.313,9.979,10.12,11.11,7.589,11.77,10.87,1.24
242.1,0.4536,-0.5723,-0.07902,2.461,-1.008,3.755,10.69,-26.22,-2.441,-3.808,5.438,8.974,6.279,-13.5,5.105,10.59,12.55,11.03,10.11,11.11,10.14,11.66,11.29,1.076
231.7,0.6512,-0.9447,-0.2218,4.588,0.9238,3.312,10.68,-26.38,-2.713,-3.637,5.406,8.952,11,-13.5,5.614,10.99,9.458,10.38,8.438,11.11,10.79,10.92,10.95,1.262
247.2,0.4554,-0.9371,-0.07219,4.948,-0.8355,2.693,10.55,-25.75,-2.267,-4.276,5.435,10.41,1.604,-13.37,6.762,10.48,11.11,9.928,10.66,11.11,11.69,10.46,11.13,0.9609
240.4,0.408,-0.514,-0.003034,4.615,-2.296,1.53,11.26,-25.68,-2.48,-4.494,5.085,10.63,14.25,-12.75,6.575,10.86,11.51,10.52,10.18,11.11,10.96,11.28,11.51,0.3487
248.1,0.3127,-0.6044,-0.02324,2.789,-2.828,2.956,11.58,-26.05,-2.943,-4.752,5.394,10.89,15.78,-13.07,6.006,11.06,10.63,10.41,13.56,10.46,11.85,11.56,10.06,1.259
248.3,0.3312,-0.7558,-0.2899,3.787,-0.8469,0.1583,8.44,-24.44,-3.485,-4.256,5.793,10.64,7.637,-13.04,5.964,10.7,9.709,9.532,12.58,10.94,10.88,7.33,9.943,3.967
236.8,0.4716,-0.5756,0.07557,4.63,0.09555,3.842,9.888,-24.39,-3.591,-4.268,5.971,10.04,15.99,-11.85,5.956,12.04,9.754,9.634,14.71,7.537,11.29,7.92,8.864,3.121
257.5,0.1567,-0.3484,0.2558,4.001,1.141,3.337,10.15,-23.21,-3.358,-4.528,6.013,10.37,0.5977,-12.1,6.252,11.24,9.28,12.78,13.48,10.58,13.79,9.302,7.001,1.91
219.4,0.5199,-0.3608,0.04403,2.295,-2.203,4.258,8.713,-22.43,-2.998,-3.84,6.009,9.844,-11.01,-11.27,5.918,11.68,10.39,12.45,13.52,10.57,12.87,8.519,5.346,4.227
241.1,0.3284,-0.7014,0.06122,3.265,0.1013,2.633,9.521,-21.81,-3.256,-3.161,5.939,8.934,-11.64,-11.1,5.485,12,11.2,10.76,12.18,8.161,12.73,9.426,4.861,2.622
249.6,0.4387,-0.6677,0.178,2.134,-0.6411,2.189,11.11,-20.96,-3.176,-4.64,5.209,8.715,-8.999,-10.52,5.482,10.96,12.9,11.53,10.19,12.36,12.34,9.541,4.304,3.183
244.6,0.4334,-0.4447,0.03326,3.072,1.16,3.686,12.81,-21.7,-2.966,-4.304,5.442,8.114,9.444,-10.24,5.894,11.24,11.47,13.34,11.67,7.134,12.66,10.62,4.719,4.659
