"deviance","gbar","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
248.4,0.4505,-0.9086,0.123,2.666,-3.813,1.701,6.406,-11.48,0.5639,-1.23,3.822,6.489,13.9,-11.31,4.265,6.254,5.981,5.041,6.992,8.347,4.834,5.436,3.124,2.046
237.3,0.4737,-0.6394,0.05015,3.523,-2.131,3.473,5.185,-11.46,0.6383,-1.895,3.761,6.834,18.06,-10.87,4.427,4.809,3.591,3.639,7.088,6.239,4.597,7.956,3.893,1.361
238.6,0.5733,-1.05,-0.1889,3.687,-1.642,1.646,4.805,-11.62,0.4082,-2.093,3.466,8.052,12.23,-10.71,4.177,5.476,2.272,2.978,6.994,6.949,3.382,1.105,4.092,3.094
251.3,0.5321,-1.19,-0.3351,3.227,0.1453,3.622,4.181,-11.55,-0.4807,-2.796,3.736,7.832,-9.54,-10.66,4.033,4.805,1.975,3.178,7.387,8.048,3.802,6.528,4.049,1.755
228.8,0.653,-0.951,-0.1186,4.641,-2.972,1.411,5.733,-12.06,-0.3268,-2.92,3.264,7.756,4.77,-11.02,4.208,5.17,1.757,6.504,4.372,8.555,3.666,5.156,4.049,2.298
247.9,0.4259,-0.8151,0.08619,3.562,-2.639,3.973,4.217,-12.54,-0.4293,-3.039,3.264,10.07,-5.764,-10.81,4.153,4.224,4.824,6.428,3.55,4.646,4.056,4.527,4.166,0.9676
237.3,0.4399,-0.6335,0.1665,2.443,-0.4975,0.5861,4.574,-12.33,-0.506,-3.945,3.423,9.318,17.12,-10.99,3.913,4.147,8.08,5.381,3.809,5.481,5.072,4.303,4.093,2.861
238.4,0.392,-0.517,0.1993,2.98,-1.529,1.091,4.048,-12.59,-0.2675,-3.447,3.436,9.656,9.611,-10.62,3.75,3.031,4.267,2.985,4.918,4.573,5.384,5.854,4.517,1.444
236.4,0.392,-0.4653,0.08819,3.067,2.468,3.502,4.497,-12.03,-0.6513,-2.323,3.31,9.281,2.977,-10.09,3.976,2.538,2.861,3.991,2.88,3.713,5.505,5.466,3.888,3.18
245.9,0.3004,-0.5274,0.09557,2.156,1.282,2.593,7.384,-12.88,-0.01269,-2.645,2.914,9.011,6.704,-10.56,3.746,2.771,1.882,1.555,1.401,3.063,7.278,8.577,3.927,4.129
236.2,0.4957,-0.5217,0.01746,3.821,-2.321,4.838,4.396,-13.22,-0.5347,-2.674,2.711,7.378,-4.11,-10.21,3.634,3.59,2.519,0.6708,2.16,9.256,8.378,7.468,4.005,3.435
244,0.3362,-0.6546,0.06106,3.095,1.208,2.383,3.123,-13.18,-1.628,-2.16,2.776,9.079,12.86,-10.26,3.471,3.17,5.668,1.606,2.312,3.955,7.624,5.998,4.642,3.746
232.3,0.503,-0.6097,-0.1744,4.203,0.9159,2.175,5.476,-13.44,-1.669,-2.441,2.547,7.943,17.95,-10.57,3.481,4.173,3.986,1.386,1.964,1.097,9.522,6.088,5.102,3.891
233.8,0.4839,-0.5616,0.07833,3.996,-4.645,4.885,4.77,-13.23,-1.966,-2.346,3.262,7.553,14.82,-9.92,3.139,4.335,5.218,4.53,2.582,4.946,7.319,6.749,5.34,1.409
233.9,0.3905,-0.4871,0.1452,2.176,-1.17,0.6487,5.589,-13.73,-2.558,-3.03,3.551,7.453,13.73,-9.272,2.835,5.653,4.319,4.383,2.888,7.021,7.093,6.277,5.379,1.598
231.6,0.4077,-0.3784,-0.07328,4.958,-0.9612,0.8324,6.468,-13.37,-2.703,-3.049,4.281,7.851,15.13,-8.835,3.259,3.982,7.154,7.293,3.358,8.197,6.744,8.192,6.162,2.151
251.9,0.2333,-0.5239,0.09338,2.533,0.1094,3.248,6.88,-12.56,-3.092,-3.873,4.104,8.633,15.65,-8.448,3.135,2.461,8.729,6.703,1.878,7.326,7.248,8.351,4.778,2.065
242.6,0.4618,-0.6622,0.1183,4.38,-3.765,1.448,4.726,-11.94,-3.132,-4.244,4.507,9.031,16.22,-9.412,2.786,3.235,6.522,7.479,1.827,7.901,7.223,9.086,5.555,2.402
230.2,0.4546,-0.5248,0.09361,3.836,-0.3953,0.7876,6.255,-13.36,-2.938,-4.252,4.096,9.031,14.06,-9.246,2.681,3.353,11.61,6.351,1.349,10.02,5.786,9.091,4.815,2.901
243.4,0.4546,-0.7329,0.09382,4.759,1.614,3.31,6.202,-13.68,-2.727,-4.342,3.943,9.031,25.64,-9.515,3.525,5.553,6.894,5.194,2.583,14.83,5.227,6.548,4.895,3.441
234.8,0.4295,-0.7022,0.004148,3.943,-1.732,1.111,5.889,-14.3,-3.054,-4.082,3.694,8.611,19.76,-11.04,3.676,5.535,9.349,1.666,4.231,5.085,6.119,4.169,4.623,1.962
227,0.625,-0.7626,-0.2198,4.172,3.031,3.449,3.605,-14.32,-2.943,-4.028,3.96,8.583,28.94,-10.61,3.28,3.978,4.811,1.906,2.55,5.869,5.431,6.074,4.094,2.48
241.9,0.4182,-0.775,-0.1374,4.683,-0.2972,2.494,4.336,-15.37,-2.748,-3.839,3.439,8.451,24.33,-10.44,3.411,5.393,4.417,5.006,2.496,5.869,4.4,6.564,3.339,1.524
221.8,0.7306,-0.8692,0.04729,1.762,-1.294,0.2162,4.421,-15.46,-2.601,-4.038,2.954,8.388,17.23,-10.15,3.296,7.695,4.239,7.79,2.972,2.877,5.017,6.69,3.187,2.088
245.4,0.3967,-0.7099,-0.1984,4.752,2.007,1.665,6.282,-15.47,-2.23,-3.711,2.969,7.911,6.59,-9.869,3.479,7.177,2.392,6.461,2.501,9.065,2.481,5.752,3.954,3.226
263.5,0.1475,-0.6045,-0.2031,1.268,-2.212,1.111,5.51,-16.43,-2.135,-3.572,2.866,7.977,5.994,-10.03,3.237,7.757,4.509,6.854,4.151,4.095,4.068,5.585,4.506,1.188
243.3,0.4402,-0.6428,-0.1321,3.907,-2.235,0.6696,4.297,-17.09,-1.436,-3.493,2.817,8.418,5.137,-10.49,3.46,7.671,1.946,9.946,4.15,2.116,5.519,4.26,5.301,3.602
234.7,0.4123,-0.5504,-0.1833,3.293,2.038,2.651,4.648,-16.94,-1.417,-3.906,2.9,8.031,3.09,-10.58,3.266,7.423,0.2684,10.85,5.096,5.763,5.652,4.706,4.794,3.593
239.2,0.4366,-0.6339,0.1172,3.092,-0.6782,3.264,4.775,-16.84,-1.212,-4.215,2.838,7.996,1.903,-9.95,3.067,7.423,0.2057,9.364,3.751,11.68,5.167,5.501,5.347,2.529
255.7,0.2673,-0.6655,-0.07559,4.628,-1.953,2.922,5.446,-17.03,-1.402,-3.398,2.801,6.667,-7.402,-8.988,3.182,6.605,3.994,9.331,3.317,2.586,3.835,6.622,5.443,2.325
228,0.5933,-0.6216,-0.03172,3.306,-0.6431,1.138,8.491,-15.98,-1.393,-3.607,2.637,6.484,4.371,-9.235,3.182,5.8,6.766,13.95,4.65,6.399,4.595,8.179,5.397,3.924
243.7,0.3098,-0.4909,0.03958,3.489,-2.074,4.574,8.093,-15.55,-1.354,-3.433,3.227,7.056,3.016,-9.026,3.388,5.414,7.987,14.48,3.881,6.695,3.76,7.571,5.87,3.729
252.1,0.3084,-0.6573,0.05945,4.407,-0.2433,3.961,6.115,-15.53,-1.196,-2.937,3.211,6.708,-2.175,-9.068,2.815,5.878,4.591,16.56,3.228,7.385,4.228,8.982,5.815,4.121
233.6,0.402,-0.4526,-0.06305,4.712,-6.651,0.05338,4.522,-16.34,-0.7623,-2.993,2.864,6.775,-4.603,-9.802,3.727,7.368,5.144,14.94,2.185,6.028,5.271,8.411,5.695,3.812
233.9,0.479,-0.7358,-0.09065,3.965,-4.451,4.09,5.088,-15.67,-1.138,-2.966,2.762,6.775,-2.382,-10.03,2.373,6.413,3.882,15.4,1.355,7.453,4.666,7.858,4.379,4.115
