"deviance","gbar","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
262.6,0.3672,-1.008,-0.03922,3.372,-1.717,1.919,12.45,-22.14,-3.751,-4.863,6.405,9.876,16.52,-14.03,3.821,12.21,13.34,13.02,12.46,10.72,13.78,11.59,11.1,0.8832
226.8,0.5713,-0.437,0.09407,3.645,-3.139,4.429,13.3,-22.21,-4.167,-5.524,5.964,10.62,4.372,-14.49,3.947,12.66,13.49,13.51,12.51,13.64,13.91,13.29,10.27,1.322
235,0.5186,-0.757,-0.01785,3.003,-0.5021,4.172,11.03,-22.39,-3.788,-5.024,5.859,10.48,14.01,-14.67,3.789,13.14,10.19,13.2,11.55,13.63,14.04,13.3,9.247,2.57
241,0.5329,-0.9655,-0.07321,3.01,-0.1718,2.053,11.54,-22.36,-4.178,-4.581,6.041,9.568,1.887,-13.47,3.909,13.84,12.22,14.41,11.45,12.56,12.69,12.57,9.912,1.522
235.4,0.6688,-0.9378,-0.01774,4.955,0.5187,0.0521,13.59,-22.54,-3.849,-4.981,6.46,9.485,6.671,-13.66,4.057,13.05,13.17,13.11,11.33,11.97,13.99,12.94,10.43,1.962
237,0.5576,-0.7727,-0.2196,1.605,-0.7632,1.591,12.56,-22.25,-4.041,-4.854,6.675,9.367,9.299,-13.7,4.38,14.09,11.79,11.96,11.14,12.86,12.15,14.51,10.11,1.293
265.9,0.3088,-0.8393,0.0003098,4.174,0.8215,4.196,12.38,-22.73,-3.088,-4.98,7,10.1,2.447,-14.35,4.423,13.02,9.707,10.89,11.28,11.8,13.14,11.55,10.99,1.886
256.1,0.4634,-0.9632,-0.09284,3.878,1.846,1.103,11.3,-21.73,-2.62,-4.17,7.373,9.213,9.255,-14.62,4.31,12.17,11.24,11.07,11.43,11.52,11.63,10.55,10.73,0.4359
240.9,0.6232,-0.9712,-0.2068,2.62,0.9216,0.5749,10.14,-21.91,-2.873,-4.301,6.914,9.347,-2.016,-15.25,4.154,9.893,12.32,11.07,9.901,10.15,10.83,11.18,10.56,1.07
237.2,0.5081,-0.5501,-0.01727,4.513,1.912,4.509,10.39,-21.26,-1.731,-3.918,6.457,9.703,-6.763,-15.68,4.431,10.56,10.39,10.7,9.901,10.16,10.56,10.45,10.59,0.2623
243.3,0.4858,-0.5915,0.1146,3.505,-0.9972,4.369,10.33,-20.63,-1.19,-4.228,5.739,10.15,-17.52,-17.5,4.86,10.72,10.39,10.49,10.22,10.16,10.29,9.903,10.66,0.335
247.6,0.4078,-0.5915,-0.07884,2.233,-1.315,3.637,10.32,-20.68,-0.9932,-3.902,5.881,9.717,0.3217,-17.37,4.838,10.04,10.21,10.4,10.27,10.52,10.29,10.3,10.3,0.3266
250.4,0.6798,-1.07,-0.1383,4.722,-4.286,0.896,10.25,-21.81,-0.7626,-3.629,5.693,9.367,6.313,-17.87,4.759,9.867,9.763,11.16,10.8,10.52,9.492,9.951,9.9,0.4702
240.3,0.5387,-0.7617,-0.09987,2.583,-4.723,1.771,10.19,-21.41,0.2789,-2.991,5.438,9.994,0.559,-18.52,4.898,10.23,11.13,9.755,10.73,9.862,11.66,9.929,10.6,0.8427
252.6,0.4702,-0.7451,0.2808,3.673,1.535,1.613,9.055,-21.7,0.315,-2.868,5.614,11.19,3.383,-17.65,4.932,9.047,9.52,5.705,11.85,6.856,10.79,8.532,10.99,2.038
233.3,0.4014,-0.2969,0.1113,2.707,-0.3999,4.464,9.862,-21.08,0.2366,-1.967,5.975,10.64,4.021,-16,5.161,8.986,10.95,6.744,10.61,8.465,9.744,14.35,10.79,2.809
245.1,0.3346,-0.2969,0.2609,1.645,-0.9152,2.186,10.42,-19.96,-0.3669,-1.522,5.906,10.01,16.56,-15.98,5.57,10.36,10.27,9.991,8.558,11.66,11.03,9.865,10.61,1.606
242.8,0.449,-0.6663,-0.01918,2.402,0.005555,2.114,10.28,-20.04,-0.6546,-0.6575,5.684,10.49,14.25,-15.61,5.615,10.13,10.38,9.407,8.854,10.22,10.61,9.316,10.66,1.289
249.9,0.3723,-0.6894,0.002676,4.895,2.686,0.8196,8.751,-19.95,-0.3021,-0.9184,5.448,9.592,18.96,-15.33,5.141,10.79,7.656,8.822,10.24,4.311,11.11,11.08,11.33,2.31
247,0.3664,-0.4822,-0.1495,3.641,-5.06,2.51,9.93,-19.87,-0.1437,-0.5233,5.744,9.085,1.221,-15.43,5.382,9.26,12.87,12.42,8.076,4.843,11.48,14.89,12.7,4.595
257.6,0.3664,-0.8146,0.02655,4.792,-2.554,4.48,10.71,-20.35,-0.3688,0.3349,5.918,8.815,8.764,-14.91,5.254,10.04,11.29,11.57,7.759,9.63,11.96,12.72,11.92,2.139
239.5,0.465,-0.6874,-0.0212,2.668,-0.4726,4.923,11.12,-19.65,-0.492,0.1925,6.076,7.651,8.098,-14.05,5.186,11.06,9.39,13.74,7.187,12.09,9.377,11.75,12.08,1.488
251.9,0.387,-0.8529,-0.04637,4.494,-3.157,3.99,11.08,-19.46,-0.9848,-0.09665,5.273,7.782,10.73,-13.51,4.731,9.999,14.76,14.75,6.358,11.54,10.78,11,10.87,2.826
247.1,0.3938,-0.6467,-0.1041,4.575,-1.53,3.009,11.9,-19.53,-1.321,-0.2722,5.46,7.094,19.09,-13.01,4.743,9.518,9.067,17.39,6.465,11.39,10.62,14.44,10.79,2.467
229.4,0.5004,-0.5825,-0.1041,3.523,-0.8191,0.9178,14.85,-21.31,-0.8308,-0.3101,5.134,8.139,7.796,-12.2,4.776,9.791,10.96,14.11,5.353,18.4,10.73,14.37,10.1,4.633
238.5,0.4332,-0.7762,-0.2144,2.48,-0.4319,4.802,10.85,-22.56,-1.004,0.08806,4.517,7.697,7.267,-12.69,4.526,9.983,9.59,14.86,4.854,6.663,8.245,12.91,11.23,3.768
234,0.4505,-0.6836,-0.05004,4.923,0.6673,3.365,9.697,-22.02,-1.435,-0.6869,4.56,7.541,4.841,-14.28,4.929,10.03,8.304,12.92,4.572,10.08,8.195,11.16,9.962,3.491
220.6,0.6383,-0.7234,-0.2138,3.65,0.1111,3.84,6.358,-23.11,-1.963,-0.3971,4.859,5.939,-16.05,-13.97,4.748,10.85,5.038,13.95,5.98,10.7,9.522,13.25,10.43,3.319
242.9,0.4449,-0.8108,-0.01088,4.527,-2.75,1.505,8.772,-24.19,-1.128,-0.4578,4.408,6.127,-9.159,-13.46,5.133,10.68,9.782,12.83,6.048,13.38,8.804,9.759,10.2,3.291
232,0.4553,-0.5675,-0.05545,2.191,0.1273,2.375,7.025,-24.76,-2.657,0.2047,4.051,6.808,-12.66,-13.62,5.103,10.19,4.883,14.35,6.586,10.58,10.19,9.321,10.35,4.747
244.4,0.3627,-0.7638,0.05435,4.522,-2.622,4.815,10.85,-25.49,-2.615,-0.4664,4.674,6.904,-12.07,-13.48,5.016,10.35,7.151,14.86,6.391,7.787,12.29,9.078,9.794,3.264
233.5,0.4385,-0.5075,0.01621,3.034,1.9,0.1945,10.86,-25.25,-2.89,-0.4585,4.425,6.272,-0.7102,-14.12,5.579,9.599,10.76,13.06,6.111,12.05,12.87,10.9,10.37,3.351
