"deviance","gbar","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
246.3,0.5583,-0.2964,0.2159,2.991,-0.6798,3.577,2.985,-13.54,0.7317,-4.503,1.76,6.083,-4.87,-17.03,-2.901,5.021,9.032,3.961,3.977,2.364,2.842,6.9,2.958,2.35
236.7,0.6455,-0.2514,0.3034,3.218,-0.3621,0.845,4.715,-13.17,-0.3307,-3.813,1.641,5.647,-2.587,-17.1,-3.077,4.499,4.238,4.35,3.414,6.858,2.855,6.798,3.165,1.521
231.1,0.8328,-0.547,0.1713,4.398,0.9593,1.284,3.882,-13.25,-0.3412,-3.408,1.752,5.366,2.81,-17.31,-3.061,4.651,4.786,1.961,3.391,2.665,3,4.986,3.283,1.46
219.4,1.101,-0.5252,0.2291,3.722,0.517,2.922,3.637,-13.11,0.03463,-3.569,1.347,5.702,2.076,-17.63,-3.219,3.644,6.513,3.61,3.034,3.488,3.253,4.155,3.966,1.069
216.7,1.028,-0.5026,0.01319,3.846,-0.1703,1.38,2.79,-13.09,-0.6719,-3.441,1.639,5.618,5.562,-17.74,-3.101,3.127,3.432,3.075,2.08,2.785,4.346,4.506,4.235,1.578
235.6,0.8372,-0.4801,0.1465,3.67,-2.302,0.3035,3.699,-13.72,0.06333,-3.316,1.101,5.666,9.649,-17.93,-3.199,3.77,2.38,2.49,2.496,4.312,2.342,2.515,3.931,0.8404
245.3,0.6095,-0.332,0.07409,4.63,-1.822,2.635,2.97,-12.76,-0.05016,-3.476,0.9731,5.39,6.925,-17.52,-2.545,3.928,3.976,3.274,2.632,1.64,1.549,2.682,4.068,1.094
231.1,0.7863,-0.2619,0.1563,3.281,-2.821,0.2348,2.541,-12.92,0.32,-3.091,0.8795,5.949,9.2,-16.6,-2.261,2.686,1.858,2.502,2.729,1.998,2.066,2.686,3.662,0.892
217.9,1.006,-0.2683,0.3675,2.555,0.2183,0.2686,2.072,-13.37,0.405,-2.213,1.005,6.395,9.661,-16.94,-1.931,1.597,2.899,2.502,1.473,2.222,1.806,1.665,3.527,0.6941
224.1,0.8092,-0.2683,0.1843,3.454,0.8535,0.2942,2.558,-14.16,-0.0553,-2.024,1.144,6.221,12.85,-17.25,-2.152,2.711,0.6982,3.033,3.262,4.263,1.386,0.6673,2.557,0.9934
237.6,0.76,-0.162,0.3385,3.287,-1.895,4.499,2.63,-14.18,-0.4243,-1.906,1.139,5.613,8.284,-17.13,-1.911,3.53,4.683,1.816,3.016,2.103,1.869,1.721,3.768,1.297
234.4,0.6057,-0.0518,0.3617,4.459,1.964,2.443,4.038,-13.9,-0.5217,-1.906,1.007,5.501,7.161,-16.88,-1.331,3.918,3.667,1.399,1.76,6.15,2.747,1.214,3.38,1.992
242.8,0.6314,-0.3743,0.1938,1.581,-1.662,0.5784,3.184,-13.61,-0.9473,-1.979,0.8466,5.943,2.82,-16.71,-1.507,3.773,2.619,0.8328,2.906,0.003036,1.907,2.775,2.826,2.616
219.9,0.9713,-0.3092,0.194,1.858,-0.4943,1.341,2.665,-14.19,-0.5517,-2.111,0.9844,5.799,3.892,-16.43,-1.338,3.791,1.278,0.7651,2.133,1.136,1.416,3.168,2.441,1.664
232.9,0.7747,-0.3643,0.2801,3.615,-0.3772,0.6124,1.846,-14.24,-0.4112,-2.106,1.237,5.92,2.632,-15.88,-1.889,2.292,0.4598,1.255,1.44,0.2826,1.267,2.942,2.257,0.8915
232.4,0.7677,-0.207,0.2712,4.955,-0.1745,3.021,1.662,-14.09,0.2939,-2.071,0.8226,6.268,-3.527,-16.72,-2.18,1.303,1.683,0.7287,1.059,0.901,2.374,1.272,2.431,0.6275
238.1,0.7777,-0.207,0.6792,4.632,-0.0239,3.174,1.938,-14.35,0.1492,-3.266,0.7268,5.942,-6.38,-17.4,-2.26,1.237,1.32,1.965,1.38,0.901,0.9938,2.934,2.434,0.7555
226.3,0.81,-0.2887,0.1899,2.281,-0.2377,2.518,1.661,-13.99,0.1395,-3.721,1.018,6.319,0.11,-17.45,-2.605,2.705,0.7868,-0.1847,0.9014,-4.406,3.152,3.331,1.534,2.126
217.7,1.014,-0.277,0.3908,3.508,0.2853,2.276,1.276,-13.5,0.1775,-3.344,0.8745,6.663,0.2489,-17.94,-2.25,2.949,3.106,-1.929,0.9014,-2.057,3.708,1.629,1.734,2.336
234.7,0.993,-0.7434,0.2827,4.279,0.5243,4.08,5.072,-12.99,0.001016,-3.604,1.183,7.648,-0.4039,-16.56,-1.91,3.175,2.853,-1.045,1.909,5.119,4.657,4.005,2.307,2.365
230.1,0.993,-0.4041,0.4561,3.993,1.012,3.428,2.608,-12.35,-0.2021,-3.83,1.63,8.595,-0.3825,-16.06,-1.91,3.248,1.754,0.05301,3.317,0.1308,4.728,3.002,2.334,2.411
230.3,1.008,-0.3002,0.402,1.078,-0.9626,4.224,2.056,-12.62,-0.2316,-3.8,1.603,8.658,-1.255,-17.08,-1.564,2.501,2.48,2.26,1.627,1.422,1.234,3.861,1.926,0.9579
226,1.153,-0.4475,0.2835,4.211,-2.742,3.535,1.624,-13,-0.09321,-4.191,1.487,8.115,12.33,-17.44,-1.981,2.09,0.07814,3.313,1.75,2.924,1.674,2.284,2.861,1.195
236.3,0.7362,-0.3438,0.1619,3.414,-1.587,4.376,3.05,-13.87,0.0861,-4.342,1.517,7.732,4.816,-16.95,-1.687,2.476,3.227,1.979,2.356,3.969,1.877,4.561,2.872,0.9143
227.8,0.9528,-0.5549,0.2514,3.782,-4.726,2.719,5.026,-12.65,0.304,-4.343,1.393,8.234,4.908,-16.12,-2.561,2.742,4.384,-0.09297,1.863,11.07,4.486,8.097,3.446,2.597
233.9,0.8912,-0.5856,0.2872,3.681,-0.9252,2.613,6.043,-12.35,0.2133,-4.136,1.304,8.471,19.07,-15.89,-2.43,2.681,-0.6289,-0.7796,2.761,1.914,4.059,7.522,3.804,4.441
239.1,0.8966,-0.4411,0.4738,2.386,1.03,4.25,3.522,-11.9,-0.3171,-4.673,1.146,9.369,28.4,-15.9,-2.163,0.5471,0.3538,0.7963,5.317,4.929,3.226,6.311,3.235,3.187
228.1,0.9335,-0.4324,0.4233,4.807,1.655,4.245,1.673,-11.84,-0.8524,-4.484,1.178,8.264,28.6,-15.9,-1.739,-1.598,3.306,1.282,5.271,5.388,2.916,5.025,3.244,3.112
213.2,1.248,-0.4324,0.4729,4.598,-1.241,2.581,1.871,-11.64,-0.9733,-4.405,0.9984,8.691,33.38,-15.16,-1.659,-2.407,1.797,-0.3289,4.688,3.58,2.769,5.201,3.604,1.819
243.5,0.7933,-0.3614,0.2816,2.293,-0.2429,3.937,2.758,-11.54,-1.524,-3.704,0.7481,8.417,23.8,-15.46,-1.807,-2.921,-3.096,0.8971,5.68,2.258,2.855,5.662,3.766,3.982
216.2,1.067,-0.4383,0.2339,2.476,-1.677,2.452,2.764,-11.62,-1.529,-3.502,0.3943,7.93,19.3,-15.68,-1.755,-2.972,-0.258,-0.5466,5.403,1.253,2.977,4.246,4.194,2.905
229,0.9008,-0.5165,0.07723,2.25,-1.551,1.806,1.648,-11.55,-1.52,-4.004,0.1877,7.63,14.34,-15.02,-1.755,-2.656,0.9369,-0.1365,5.934,7.444,3.433,4.709,3.431,2.651
237,0.7532,-0.2594,0.5005,2.63,-2.072,1.054,2.853,-11.51,-1.722,-3.885,0.1475,7.347,8.001,-14.86,-1.741,-2.882,-4.999,-0.02749,6.801,4.51,2.036,5.852,4.095,4.081
217.3,1.081,-0.3985,0.2228,2.618,-1.85,2.429,3.787,-12.18,-1.647,-3.316,0.004267,6.844,11.19,-13.87,-1.891,-4.875,-5.572,5.088,6.22,1.335,2.812,5.397,4.299,3.301
224.1,0.9743,-0.3985,0.2228,3.51,-0.3622,3.883,4.528,-11.97,-1.149,-3.15,0.04999,6.927,9.481,-14.07,-1.601,-4.358,2.047,6.497,5.363,8.957,2.848,3.428,4.478,4.27
226.1,0.9109,-0.3919,0.05597,3.1,1.482,3.755,6.355,-12.24,-1.858,-3.357,-0.4825,6.672,4.482,-13.66,-1.499,-5.115,2.179,8.68,4.314,6.012,3.872,2.545,4.471,4.39
