"deviance","gbar","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
232.9,0.4155,-0.5429,0.01556,2.682,-0.9659,1.234,2.024,-5.907,3.206,0.7314,0.9284,0.897,-1.545,-6.963,-2.697,2.855,3.557,2.574,-0.3952,2.803,1.836,3.762,2.083,1.385
230.6,0.376,-0.3915,-0.01768,4.743,5.201,3.209,2.738,-5.725,3.289,0.7398,0.5074,0.04526,11.86,-8.102,-2.728,2.574,3.094,2.456,1.217,2.803,1.904,2.734,2.084,0.7134
238.9,0.3259,-0.2311,-0.0497,3.104,0.4052,4.796,0.9857,-4.862,3.26,0.2043,0.5242,-0.06111,-4.359,-6.793,-2.38,1.917,3.438,1.577,-1.485,3.905,0.6363,-0.05659,3.414,3.313
226.3,0.4806,-0.3622,-0.04338,2.722,-0.7594,3.096,0.668,-5.102,2.771,0.3072,0.6605,-0.6547,-3.827,-6.918,-2.219,1.817,1.068,0.4166,-0.7753,0.2412,-0.4639,2.344,3.193,1.381
237.3,0.4399,-0.6538,-0.11,3.92,-1.17,3.11,1.045,-5.076,2.612,1.33,1.494,-1.042,-2.305,-7.996,-1.94,1.74,0.2939,1.113,0.1855,0.2412,1.25,1.549,3.127,1.763
240.1,0.3595,-0.5107,-0.3532,3.205,2.88,3.671,1.848,-5.351,2.212,1.196,1.198,0.1749,9.213,-8.234,-1.592,1.689,-0.9163,2.512,1.635,0.4809,1.445,2.447,3.274,1.472
236.8,0.5288,-0.6892,0.1299,4.161,-0.1376,4.083,1.486,-5.105,2.007,1.639,1.21,0.07578,11.17,-8.006,-1.439,1.824,-0.1229,-0.4572,0.3833,0.4809,1.504,1.727,3.541,1.079
224.9,0.5955,-0.6092,0.139,3.71,2.297,4.723,1.725,-5.367,1.754,2.183,0.7814,0.07578,15.48,-6.798,-1.192,1.724,0.8262,-1.102,0.7609,0.4809,1.59,2.498,3.336,1.488
214,0.7005,-0.4931,-0.07447,1.593,-1.957,4.81,1.794,-6.014,1.479,2.541,0.5917,0.07884,12.8,-6.798,-0.3349,1.7,3.415,2.192,1.465,0.5488,1.223,1.376,3.728,1.068
233.3,0.4787,-0.4898,-0.03153,2.766,1.072,4.253,1.905,-5.89,1.82,2.897,0.7205,0.1166,2.388,-7.629,-0.7265,1.441,2.636,0.1612,1.422,-0.2369,1.406,-0.1692,3.95,1.435
255.9,0.2338,-0.4286,-0.1212,1.338,0.5923,2.805,1.335,-5.712,1.87,2.746,1.284,0.07274,-11.77,-7.34,-0.8195,1.233,2.659,1.175,1.268,-0.2369,2.301,0.4839,4.368,1.48
233.3,0.4145,-0.3786,-0.06338,2.382,0.5543,4.091,2.379,-4.951,1.446,2.685,0.9031,-0.00998,-17.53,-7.152,-1.411,1.223,2.946,0.296,1.033,2.815,2.526,-0.4545,4.202,1.351
245.2,0.3956,-0.342,0.1866,2.255,-0.2568,2.903,1.871,-5.131,1.851,2.021,0.9128,0.03881,-19.85,-6.895,-0.9394,1.156,2.946,0.4177,1.033,0.3063,2.182,1.09,3.626,0.9665
238.8,0.3498,-0.159,0.1866,3.838,-3.99,2.231,1.829,-5.208,1.881,2.024,0.8043,0.08343,-23.04,-6.873,-0.9134,1.159,0.8111,2.437,1.033,2.081,1.583,3.193,3.847,1.049
235.8,0.3963,-0.3155,0.2057,4.761,-1.947,0.6073,2.164,-5.259,1.842,1.852,0.7425,0.4436,0.4856,-6.873,-0.6584,2.536,0.8111,1.995,0.6629,2.081,2.441,3.148,3.762,1.065
240.7,0.3963,-0.3308,0.1237,4.798,1.879,2.674,3.428,-4.842,1.997,1.651,1.149,0.3448,-5.752,-6.528,-0.2695,2.541,1.325,2.45,0.7694,2.936,3.873,3.077,4.288,1.935
233.6,0.5094,-0.6275,-0.1864,4.163,0.9276,1.964,2.93,-5.442,1.743,1.639,1.485,0.4224,0.05395,-6.624,-0.7878,2.351,1.914,2.313,3.418,3.727,6.052,4.885,3.802,2.462
250.2,0.3389,-0.547,0.005672,4.319,-0.1791,3.161,1.851,-6.307,1.767,1.629,1.551,0.5206,-12.36,-6.113,-0.3662,2.765,0.9921,2.497,3.735,3.727,6.052,2.563,3.427,2.298
250.2,0.3873,-0.6475,-0.07118,2.802,-2.119,0.5371,4.736,-6.375,1.784,1.78,1.697,1.622,-3.337,-5.886,-0.3691,2.327,8.301,3.067,5.474,7.11,5.816,3.032,4.197,1.386
238,0.4588,-0.6201,0.03874,4.506,3.544,0.07497,2.176,-6.606,2.548,1.624,1.626,1.536,-3.147,-5.886,-0.5181,1.788,0.4534,2.19,3.462,-0.8034,5.779,3.73,4.56,2.469
224.9,0.5961,-0.5224,-0.0237,2.787,1.538,0.3602,4.439,-5.9,2.322,2.11,1.973,1.605,5.395,-5.551,-0.5625,1.73,4.107,3.139,4.598,3.839,5.952,4.166,3.908,1.271
223.1,0.6384,-0.6533,0.03353,3.731,1.148,0.1382,3.954,-6.208,2.19,2.866,1.849,2.429,-4.849,-5.403,-0.6257,0.8214,4.107,4.517,4.475,3.722,3.568,4.406,3.9,1.624
227.7,0.488,-0.3645,0.05205,2.167,0.6389,0.7411,3.954,-5.724,1.054,2.623,1.872,2.177,-4.235,-6.392,-0.6523,1.461,4.107,4.011,3.627,3.722,4.646,3.468,3.216,1.188
219.5,0.602,-0.368,0.04211,3.352,-0.2354,0.9425,3.005,-5.629,1.033,1.937,1.894,2.675,-13.98,-6.425,-0.7696,0.8814,2.852,2.915,2.918,3.722,5,3.242,2.956,1.845
228,0.4278,-0.3141,-0.06093,3.946,-2.975,1.363,3.617,-5.563,1.46,1.842,1.995,3.177,5.436,-6.76,-0.7811,0.8072,2.795,4.578,3.835,4.405,2.797,2.609,3.255,1.171
234.3,0.4811,-0.5971,-0.03622,4.758,-0.3141,1.81,2.212,-5.077,1.681,2.146,2.152,4.154,-7.911,-6.901,-0.6865,0.9815,1.144,4.216,3.427,1.528,2.142,3.206,3.094,1.36
230.7,0.4066,-0.3315,-0.03328,2.809,-1.676,0.1089,2.587,-6.986,1.524,2.163,1.601,3.825,-12.43,-7.07,-0.5589,0.7812,2.236,2.604,3.123,2.723,2.719,3.37,2.77,0.9755
224.1,0.5545,-0.4442,0.02952,4.915,8.519,0.5277,2.552,-7.199,1.323,2.251,1.393,3.578,-17.19,-7.483,-0.8293,1.955,1.943,1.766,3.049,3.433,2.442,2.741,2.831,1.015
234.5,0.4368,-0.5271,0.06298,4.08,-1.247,0.5433,2.447,-6.845,1.634,2.149,1.393,3.865,-11.35,-7.524,-1.266,1.325,2.667,2.555,3.587,2.356,1.54,3.077,2.868,0.9203
226.7,0.6072,-0.5577,0.02858,4.157,2.85,0.965,2.7,-6.839,1.237,2.414,1.746,4.722,-9.06,-7.385,-1.449,1.256,0.2802,2.555,3.677,3.764,3.706,1.1,3.212,1.452
235.1,0.4264,-0.4328,0.006806,4.991,-0.2358,1.398,2.652,-6.617,1.03,2.208,1.827,4.393,-1.469,-7.659,-1.671,0.9708,1.001,1.767,4.016,0.1164,3.136,1.022,2.847,1.822
223.2,0.6261,-0.6404,-0.01398,3.47,1.536,2.664,2.222,-6.853,1.72,1.174,1.702,4.646,-2.131,-7.455,-1.46,0.7456,1.001,1.474,2.216,2.884,4.803,0.5586,2.064,0.9417
220.5,0.5336,-0.1846,0.1469,1.87,-0.2771,2.847,2.167,-7.152,1.742,1.172,1.562,5.307,-5.528,-6.787,-1.231,0.7456,1.447,0.9206,2.774,0.6341,5.919,2.951,2.566,1.76
228.4,0.3546,-0.1573,0.2288,4.837,1.619,0.5349,1.385,-7.811,1.777,0.8161,1.405,5.262,-6.492,-7.239,-1.536,0.7916,1.479,-0.6837,2.059,-0.8115,5.354,2.258,3.459,2.163
222.6,0.4788,-0.271,-0.04408,4.717,6.008,0.6671,2.955,-8.09,2.013,1.208,1.487,5.511,-7.218,-5.874,-1.536,0.7916,4.685,-0.2664,1.34,4.686,6.875,1.35,3.333,1.728
220.6,0.6223,-0.5088,0.07905,3.229,-0.1961,1.403,0.9029,-7.907,1.892,1.596,1.585,5.81,-2.276,-7.074,-1.664,0.6306,-1.815,3.74,3.656,2.038,6.951,0.6433,4.058,4.863
220.6,0.6994,-0.5399,0.05006,3.152,1.15,2.557,3.04,-8.5,1.696,1.269,1.685,5.584,-3.273,-7.243,-1.31,1.644,1.414,1.022,4.396,2.038,5.846,2.25,4.238,1.137
229.5,0.4891,-0.5399,-0.343,2.953,-0.5496,0.7528,1.793,-7.776,2.255,0.2417,1.423,6.855,-0.166,-7.392,-1.374,0.5907,0.8851,1.59,2.491,4.298,7.192,6.059,3.783,5
235.7,0.3809,-0.3173,0.1708,2.569,2.215,0.6276,3.251,-7.962,2.308,-0.005954,1.311,7.415,3.748,-6.307,-1.352,1.252,2.674,4.987,3.517,6.154,6.589,4.588,4.102,1.569
227.3,0.5856,-0.6216,-0.2311,4.889,-0.155,3.423,4.7,-7.653,2.309,0.08501,1.563,6.562,-1.829,-6.612,-1.118,1.415,11.42,3.924,2.661,-0.4932,7.702,5.124,3.823,3.226
217.2,0.6474,-0.416,-0.1254,4.934,2.478,1.154,2.26,-7.732,1.861,-0.2285,1.33,5.627,0.1227,-6.368,-1.297,1.593,8.914,4.335,1.948,1.409,8.762,4.736,3.949,3.331
229.4,0.5774,-0.618,-0.1044,2.78,-1.811,0.7206,4.45,-7.724,1.816,0.4673,1.49,5.627,9.742,-7.011,-1.404,2.08,2.952,3.082,2.288,3.796,7.674,3.257,3.651,2.31
223.2,0.4891,-0.3869,-0.06966,3.822,-0.3464,1.23,4.132,-7.799,1.52,1.026,1.371,6.438,13.2,-6.984,-1.593,2.622,6.798,4.389,1.837,1.734,7.229,2.635,5.304,2.612
223,0.5042,-0.3827,0.0777,4.332,4.44,0.7342,2.668,-8.299,1.675,0.6539,1.189,6.593,11.37,-7.22,-1.554,2.658,4.45,5.347,3.603,4.319,6.79,2.668,5.905,2.315
