"deviance","gbar","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
212.8,1.044,-0.3424,0.2275,4.965,-2.365,0.02457,1.633,-12.43,1.236,-3.963,0.5135,7.896,-12.7,-19.56,-3.01,0.6555,1.328,0.9272,2.632,2.065,1.909,1.339,2.076,0.779
232.2,0.7286,-0.3715,0.2129,4.015,-0.3927,3.69,1.006,-12.45,1.33,-4.264,0.2579,7.698,-15.55,-20.69,-3.137,1.431,1.566,1.405,1.396,-0.4382,0.3435,1.339,1.277,0.6678
225.2,1.139,-0.6036,0.255,2.424,0.8753,1.603,0.851,-12.58,0.9259,-4.425,0.241,7.53,-6.305,-21.54,-3.158,0.9547,0.4154,1.309,1.3,0.6114,0.9399,2.151,1.864,0.8449
217.1,1.039,-0.6036,0.1156,4.929,1.508,2.187,3.204,-12.99,0.8305,-5.014,0.4492,7.338,-6.186,-20.19,-3.684,1.252,1.11,1.184,2.589,1.725,0.4689,4.084,2.082,3.16
220.7,0.8775,-0.1131,0.4454,4.79,-3.117,1.518,2.566,-12.2,1.264,-5.127,0.4058,6.953,-0.8458,-20.6,-3.947,1.793,3.008,1.618,0.6991,3.04,2.329,3.042,2.936,2.002
232.6,0.5991,-0.0957,-0.03607,2.587,-1.789,4.639,2.433,-12.32,1.334,-4.867,0.6426,6.744,-3.666,-19.76,-3.245,0.4594,4.136,0.8286,0.3764,2.841,1.079,6.268,2.948,1.982
221.1,0.8399,-0.2874,0.2607,3.676,0.328,2.616,1.271,-11.9,1.376,-4.771,0.6601,6.703,16.89,-18.35,-3.347,-0.7501,3.136,0.5034,0.6646,1.528,2.391,5.73,2.831,2.056
217.3,1.061,-0.686,0.06621,4.532,-1.761,3.658,2.878,-11.41,1.308,-4.486,0.577,6.12,16.87,-18.35,-3.174,-1.199,-5.09,2.703,5.12,-4.818,0.3507,7.05,3.212,3.469
214.6,0.9107,-0.1747,0.1791,3.541,0.3847,4.312,2.833,-11.57,1.912,-3.893,0.5806,5.811,6.38,-19.5,-3.459,-2.46,1.832,4.354,3.819,4.058,0.629,5.109,3.638,4.491
219.8,0.9404,-0.3747,0.3302,3.267,-1.818,3.783,3.779,-12.1,2.557,-3.329,0.8268,5.38,5.399,-19.93,-3.32,-3.242,4.103,4.982,4.054,4.498,2.307,4.675,3.726,2.463
216.4,1.104,-0.4123,0.4131,3.871,3.173,4.839,2.35,-12.11,2.423,-3.013,0.8999,5.215,7.279,-18.83,-2.377,-4.01,2.317,9.295,2.828,-2.575,3.333,2.61,4.569,3.419
229.9,0.8432,-0.4197,0.3824,2.924,1.703,1.771,1.294,-11.86,3.044,-2.959,0.9609,5.082,7.065,-18.7,-2.504,-3.572,7.734,9.434,4.291,0.7618,2.744,1.971,4.479,4.426
220.7,0.9072,-0.4324,0.1684,3.449,1.784,4.184,4.214,-12.05,3.46,-3.081,1.078,5.481,11.7,-18.17,-3.364,-2.988,-5.684,10.09,2.647,7.169,0.8452,0.2281,4.673,4.384
225,0.8434,-0.3042,0.3159,2.182,-0.7313,2.615,1.297,-11.5,3.007,-2.979,1.18,5.797,12.9,-18.78,-3.057,-2.753,4.079,7.412,2.643,-5.88,-0.6237,-0.2213,4.403,3.518
228.2,0.8034,-0.3042,0.3089,4.286,2.876,1.48,3.228,-11.97,3.087,-2.516,1.069,5.797,9.126,-18.89,-3.078,-2.764,8.315,5.547,2.92,-0.5446,-0.636,-0.3901,4.53,3.27
222.9,0.977,-0.4283,0.3304,2.524,-1.611,4.173,1.646,-11.18,3.353,-2.484,1.157,5.808,12.05,-18.5,-2.606,-2.725,2.194,3.208,1.81,0.09751,0.7533,0.3535,4.232,1.949
234.8,0.8438,-0.6573,0.07731,3.062,2.685,4.615,1.108,-10.87,3.205,-2.941,0.9516,5.808,13.91,-19.03,-3.066,-1.535,5.792,1.755,1.175,2.527,0.1514,-0.8437,4.162,2.815
211.2,1.232,-0.6273,0.1827,3.352,-2.578,4.321,-0.4647,-11.09,3.274,-2.968,0.6179,5.67,-1.691,-18.6,-3.504,-0.6401,10.16,0.3526,4.017,-5.118,0.9116,-2.098,3.432,3.707
249.2,0.6704,-0.4286,0.1638,1.75,-2.808,3.522,3.616,-10.97,3.228,-3.952,0.6535,6.476,-7.353,-20.19,-3.229,-0.258,10.9,1.787,5.463,-0.2458,0.865,-0.8652,2.842,3.839
226,0.9697,-0.4191,0.2326,2.224,-1.374,3.856,2.81,-11.69,2.855,-4.003,0.8096,6.078,-6.68,-20.29,-2.746,0.4013,5.43,7.794,4.62,1.218,0.8411,2.072,2.519,3.62
219.1,0.9244,-0.1474,0.1666,4.065,-1.081,4.423,3.29,-11.46,2.505,-3.608,1.45,6.087,3.249,-19.54,-2.506,0.6832,1.57,5.678,3.307,3.486,-1.03,1.622,3.022,3.504
226.2,0.9315,-0.3872,0.3793,4.905,2.208,2.295,0.6167,-11.63,2.403,-3.874,1.692,5.914,3.057,-19.58,-2.28,1.036,4.814,-0.6464,3.495,0.2013,-1.494,1.662,4.078,2.342
222.3,0.9509,-0.3166,0.1849,2.636,0.6766,4.528,4.115,-11.24,3.607,-3.764,1.799,6.136,6.916,-18.79,-2.211,0.1232,2.047,-2.228,3.57,-3.566,-2.288,2.038,4.265,3.643
229.3,0.8633,-0.4734,0.2481,4.193,0.8409,4.991,-0.9776,-10.51,2.541,-4.086,1.802,6.586,9.671,-18.79,-1.951,1.108,1.459,0.446,1.603,1.214,-3.658,0.8219,4.789,4.008
231.1,0.8427,-0.453,0.2107,4.493,-0.4634,2.725,-0.8196,-10.35,2.04,-4.486,1.984,7.117,5.722,-18.88,-1.986,1.392,7.928,-1.614,3.004,-2.348,-2.974,0.9201,4.691,4.155
