"deviance","gbar","gdbar","gdres","gdsig","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
578.2,-0.1358,5.386,4.28,4.983,-0.6589,-0.6419,2.92,0.4246,2.129,15.6,-0.854,0.3196,-5.214,0.2643,8.486,2.649,0.6493,12.08,15.12,14.43,16.43,13.18,15.29,14.29,18.76,16.71,1.401
583.8,-0.2408,4.222,3.827,4.805,-0.5475,-0.5377,2.474,-1.598,0.7302,16.66,-0.9291,0.4482,-5.369,0.7475,8.43,7.724,1.235,11.59,13.23,15.85,16.43,12.2,18.85,17.23,18.24,15.99,1.782
578.4,-0.02922,4.361,2.39,4.929,-0.743,-0.9075,3.138,-1.269,0.4207,15.23,-0.8043,0.5295,-5.346,0.2454,8.252,8.667,0.7833,12.04,13.77,14.97,15.43,13.13,12.95,16.35,16.89,15.82,2.048
558.1,-0.04116,4.746,5.205,4.971,-0.6277,-0.5353,3.392,-1.722,2.28,15.01,-1.387,-0.1551,-5.421,1.545,8.446,-6.658,0.968,11.8,14.03,14.97,14.89,13.18,14.69,14.25,14.52,16.52,0.9998
586.7,-0.2232,4.101,3.103,4.93,-0.6762,-0.8985,2.229,1.039,1.072,12.76,-1.534,-0.7723,-5.234,1.46,8.299,3.736,1.223,12.02,14.18,13.89,14.52,13.18,11.5,14.11,14.97,16.94,1.29
581,-0.1931,4.311,2.026,4.803,-0.4488,-0.697,2.031,0.3611,2.492,14,-2.292,-0.7301,-5.386,1.595,7.155,-3.843,1.102,12.79,13.27,13.3,14.52,15.37,12.19,12.84,14.97,16.57,3.395
572.9,-0.1439,3.961,4.801,4.979,-0.5366,-0.6502,4.794,-1.189,4.17,14.65,-3.331,-0.4859,-5.421,1.565,6.751,-3.15,2.041,11.82,13.28,12.08,14.52,13.85,9.594,11.13,13.94,17.81,2.702
571.6,-0.1538,5.004,3.535,4.939,-0.3519,-0.7067,3.852,-1.181,2.593,14.47,-3.604,-0.09165,-5.316,1.693,6.566,12.27,1.563,11.43,13.46,15.61,14.52,14.92,16.48,15.01,13.13,16.59,2.187
585.3,-0.3516,2.264,3.344,4.986,-0.4605,-0.4191,3.251,-0.8879,4.293,15.78,-4.714,-0.3523,-4.948,1.579,5.603,4.887,0.5218,12.19,16.33,17.88,13.83,14.99,14.05,17.1,12.59,16.76,2.157
589.8,-0.2202,4.143,4.105,4.785,-0.6602,-0.9757,1.87,0.1601,4.197,13.79,-4.162,0.2732,-4.759,0.8864,6.189,-20.09,0.2328,13.05,14.6,14.17,13.83,14.49,13.81,14.12,11.97,15.74,0.9566
585.6,-0.2882,3.918,3.166,4.985,-0.4107,-0.6041,1.538,-0.8875,3.877,14.01,-4.14,-0.1776,-4.521,1.22,6.094,-13.66,0.1532,12.48,14.57,13.95,13.83,14.54,13.99,14.8,13.44,13.84,0.6345
591.2,-0.2841,6.155,4.774,4.97,-0.6307,-0.5809,1.069,-1.574,2.278,13.84,-3.606,-0.3542,-4.329,1.823,6.066,-13.13,-0.376,12.44,13.92,13.95,13.83,14.14,13.99,13.95,14.36,13.9,0.4119
578.9,-0.1253,3.826,2.651,4.899,-0.7989,-0.8485,1.227,1.007,1.884,13.89,-5.209,-0.2712,-4.003,1.593,4.741,-5.275,0.2386,12.59,13.73,13.95,13.83,13.61,13.99,13.95,13.9,13.99,0.2086
580.4,-0.1626,3.973,3.146,4.833,-0.7238,-0.833,1.607,-0.7133,1.043,13.9,-5.075,-0.3635,-4.012,1.519,5.081,-6.17,0.1406,11.93,13.61,14.01,13.92,13.61,13.99,13.95,13.87,13.72,0.1667
588.6,-0.2896,4.405,3.895,4.995,-0.6219,-0.7021,3.248,0.542,1.852,13.6,-3.703,0.2326,-3.762,0.7107,5.24,-5.532,1.177,10.78,13.44,14.01,14.51,13.61,13.61,13.45,13.87,13.45,0.3651
572.7,-0.1846,5.716,4.002,4.994,-0.6405,-0.6849,2.892,-0.9405,1.291,14.11,-3.159,0.1346,-3.766,0.8193,4.86,-6.178,1.454,11.33,14.23,14.01,14.82,13.61,13.61,14.52,13.61,13.64,0.6642
583.8,-0.2426,6.173,1.025,4.965,-0.3537,-0.5758,1.968,-1.031,4.239,13.85,-2.547,0.1832,-3.343,1.543,5.082,-2.186,1.365,11.22,12.5,12.81,14.64,12.93,15.49,14.46,14.49,13.67,0.9748
559,-0.03686,2.965,3.782,4.994,-0.6608,-0.5182,1.85,0.1271,4.762,13.3,-2.325,0.06471,-3.226,1.587,4.981,8.197,1.491,10.37,13.52,13.58,12.82,12.85,13.17,14.4,12.58,13.57,0.8372
588.7,-0.3199,2.425,4.579,4.975,-0.5971,-0.5889,1.85,-0.1598,3.09,11.58,-2.279,0.6214,-3.226,1.527,5.487,-6.041,1.685,10.88,16.95,11.04,12.82,11.58,12.6,13.75,8.259,13.82,2.826
585.2,-0.2341,4.484,3.323,4.905,-0.7426,-0.743,2.158,-0.229,4.632,8.186,-2.31,0.8293,-2.925,1.67,5.2,-4.385,1.433,11.62,11.46,11.32,13.7,9.071,11.81,12.35,8.84,13.1,3.552
