"deviance","gbar","gdbar","gdres","gdsig","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
535.3,0.5212,2.625,3.055,4.921,-0.4591,-0.01581,3.11,-0.902,2.523,12.96,-2.115,4.348,4.757,1.775,6.696,9.618,-4.212,-4.191,8.734,12.54,11.76,9.842,8.21,13.6,21.12,17.46,4.062
539.3,0.5792,5.437,1.597,4.938,-0.856,-0.2589,2.508,-2.369,2.32,13.84,-2.271,4.733,3.721,1.505,6.937,10.02,-4.417,-3.359,9.064,13.32,9.612,9.326,11.38,13.57,18.62,17.36,2.988
533.9,0.6511,5.219,1.953,4.999,-0.6875,-0.1904,3.618,-0.9159,2.722,14.76,-2.705,4.784,3.935,1.479,4.95,4.33,-4.481,-3.213,9.573,9.983,9.424,9.042,6.937,13.57,16.51,17.45,3.311
517.9,0.6264,4.695,2.924,4.864,-0.4878,-0.003054,2.085,0.3059,1.701,10.66,-3.802,4.743,3.927,1.479,4.318,29.41,-4.693,-3.376,9.785,15.27,10.2,9.498,10.19,14.12,15.32,16.95,2.557
523.3,0.617,5.321,1.495,4.897,-0.6202,-0.08309,1.014,-1.168,2.458,13.98,-3.878,4.804,4.153,1.425,2.131,21.17,-4.627,-3.772,8.973,16.2,12.77,8.997,13.56,12.58,10.45,17.02,3.42
519.2,0.6313,4.146,1.271,4.897,-0.5671,-0.254,2.914,1.04,2.979,11.54,-3.12,4.926,3.956,1.222,1.89,25.31,-4.568,-3.053,8.678,13.85,12.68,8.516,10.62,11.38,11.21,17.53,3.809
534.1,0.6002,4.457,0.5432,4.992,-0.7563,-0.04814,1.569,0.1481,3.443,11.46,-4.153,4.733,3.371,1.23,1.746,15.45,-4.447,-3.324,8.051,16.84,12.93,7.723,10.82,11.53,11.11,18.13,3.319
522.6,0.739,3.562,2.043,4.935,-0.8341,-0.4269,0.8948,-0.9009,1.895,9.595,-1.695,4.734,3.992,0.8268,2.123,0.1389,-5.31,-3.282,7.94,8.916,11.46,8.544,11.67,11.4,9.162,18.53,3.255
534.8,0.6019,4.351,1.81,4.813,-0.8429,-0.278,1.663,-1.343,0.1754,11.88,-2.978,5.109,3.954,0.9066,3.866,5.864,-5.304,-3.492,10.02,12.08,13.4,9.575,10.47,13.57,10.81,18.64,3.046
534.6,0.5383,4.625,0.2938,4.719,-0.4758,0.06035,2.876,1.163,0.9283,9.708,-3.551,4.927,3.145,0.7833,3.76,4.821,-5.189,-3.253,9.194,9.604,12.83,8.376,9.052,12.53,8.218,18.66,4.009
547,0.5688,2.888,3.218,4.997,-0.7007,-0.2066,2.359,-2.535,1.796,11.1,-3.398,5.088,3.058,0.9327,2.997,12.13,-5.332,-3.695,10.07,14.28,10.64,8.716,11.07,11.16,7.854,19.23,4.154
538.5,0.5533,5.207,1.971,4.574,-0.7674,-0.2403,0.518,-0.7231,0.6068,11.08,-4.877,5.609,2.973,0.8132,2.462,2.94,-5.483,-3.632,10.02,14.17,7.392,7.776,1.968,10.5,11.25,19.1,4.176
525.5,0.7104,5.4,3.215,4.979,-0.7774,-0.509,2.829,-1.362,3.117,11.03,-4.761,5.629,3.218,0.7134,2.379,7.503,-5.492,-4.273,11.18,6.017,6.519,8.136,7.879,12.62,7.742,20.29,4.551
539.3,0.6283,3.297,2.331,4.922,-0.7143,-0.09718,0.5958,-1.46,0.4924,8.596,-5.258,4.788,3.202,0.5517,2.822,7.773,-5.869,-4.24,10.64,0.694,7.691,8.941,10.92,12.62,8.504,20.41,4.558
526.6,0.6861,3.033,1.903,4.604,-0.4947,-0.1664,0.5409,-1.196,0.8443,7.156,-5.359,5.294,2.658,0.4099,3.731,12.69,-5.287,-5.718,10.84,8.484,10.88,7.053,4.135,13.29,7.145,20.09,4.305
520.9,0.7248,4.604,1.812,4.915,-0.8434,-0.2986,0.8711,-1.059,2.828,10.72,-6.07,5.315,3.165,0.4628,3.393,-1.058,-5.843,-5.651,12.88,11.83,11.12,7.791,5.342,14.01,6.348,19.77,3.025
534.1,0.7695,5.142,0.8104,4.541,-0.8124,-0.2986,1.028,-1.294,1.399,10.08,-6.017,5.575,3.545,0.3081,3.163,5.6,-5.862,-5.911,13.03,2.08,14.63,7.584,7.791,13.25,5.699,20.01,4.162
530.1,0.6464,4.864,0.524,4.982,-0.5924,-0.4568,1.067,-0.9716,1.117,10.18,-6.134,5.748,3.19,0.2116,3.163,5.6,-5.578,-5.911,12.45,0.7244,10.57,8.05,8.791,13.17,6.778,18.69,4.751
551.6,0.2571,4.071,1.626,4.829,-0.3617,0.2467,3.435,-3.386,1.658,11.04,-6.101,5.738,3.531,0.5146,3.695,6.324,-5.718,-4.93,11.77,13.13,10.66,8.527,8.493,11.99,8.653,18.69,3.431
519.8,0.8206,5.832,1.838,4.933,-0.7821,-0.2801,3.2,-0.841,2.03,12.36,-5.283,5.407,2.935,0.8665,3.941,8.402,-5.527,-4.748,12.99,13.71,10.81,7.635,15.03,14.58,8.1,18.45,3.192
533.6,0.6226,4.788,2.134,4.98,-0.8557,-0.1436,2.336,-3.887,3.823,12.18,-5.585,4.587,2.87,1.248,3.154,9.527,-5.527,-4.776,14,10.53,11.13,8.957,14.71,11.97,11.49,18.33,3.135
540,0.4582,4.467,3.265,4.873,-0.47,-0.002625,1.457,-2.897,3.61,12.94,-5.849,4.532,2.575,1.248,1.815,1.317,-5.983,-4.819,13.99,8.453,10.35,9.376,15.52,11.33,11.24,18.59,3.436
546.3,0.3796,4.875,1.975,4.911,-0.4663,-0.002625,2.241,-0.9648,3.575,10.64,-6.23,4.665,2.697,1.128,1.932,-3.686,-5.771,-4.605,14.36,10.14,11.91,8.644,13.75,11.38,13.58,18.73,4.527
534.4,0.5105,2.75,0.6655,4.833,-0.5076,-0.1429,1.493,-1.574,2.353,10.63,-5.375,4.665,2.697,0.9913,1.594,1.336,-6.164,-5.327,14.38,9.034,10.73,7.952,6.927,11.43,14.25,18.51,3.311
532.6,0.5105,4.585,1.393,4.979,-0.6229,0.1684,1.203,-0.03201,1.262,10.88,-5.156,4.747,1.755,1.013,1.909,6.7,-6.365,-6.454,15.19,11.2,9.9,9.867,6.458,12.17,11.08,17.13,3.15
529.8,0.5106,4.705,2.739,4.986,-0.5726,0.08894,1.892,-2.021,0.6933,13.17,-4.991,4.526,2.606,0.7965,0.7482,3.64,-6.456,-5.849,13.91,13.51,11.9,9.479,13.16,11.34,13.71,17,2.15
534.7,0.5766,3.826,1.595,4.876,-0.6792,-0.07665,1.625,-0.1653,1.423,12.21,-5.474,4.656,2.581,0.7463,0.9433,0.5951,-6.098,-5.809,12.01,14.62,11.82,7.171,11.92,12.32,12.92,17.06,2.094
530.9,0.4397,2.875,1.106,4.912,-0.4837,-0.1861,0.6845,-1.461,1.254,12.63,-5.851,4.605,2.765,0.6406,0.5609,5.869,-5.824,-5.869,10.17,12.5,9.986,7.64,13.15,12.6,15.74,16.08,2.123
518.3,0.725,5.402,1.573,4.669,-0.6396,-0.1615,3.881,-3.232,1.551,10.83,-5.506,4.605,2.859,0.7028,2.336,-1.675,-5.754,-5.99,9.255,10.23,12.51,7.755,11.36,12.36,12.75,15.06,2.822
525.1,0.5882,4.763,2.738,4.911,-0.5048,-0.09721,1.827,-1.136,3.492,11.25,-5.608,4.614,2.316,0.6002,3.202,-12.16,-6.626,-5.229,8.578,14.12,11.69,8.535,8.46,12.22,11.16,16.08,3.001
526.8,0.5366,3.721,2.029,4.974,-0.5048,-0.1074,0.8773,-0.8225,4.845,9.1,-5.677,4.58,2.651,0.9778,2.057,-10.11,-6.708,-5.519,8.228,11.69,11.42,8.1,10.74,11.7,13.17,15.82,2.851
544.1,0.5017,1.909,1.352,4.827,-0.6059,-0.3124,0.4903,-1.12,2.664,12.99,-5.901,4.728,1.986,0.8753,1.724,-10.11,-6.478,-5.533,9.128,13.08,10.47,8.55,8.905,11.52,12.08,16.85,4.683
537.2,0.5297,6.333,3.641,4.86,-0.5041,0.1261,1.62,-0.4599,2.761,9.723,-5.901,3.959,2.037,0.7721,3.593,-5.088,-6.738,-4.964,10.61,10.21,10.95,8.768,7.412,13.27,13.48,17.6,2.893
539,0.2925,3.733,1.046,4.939,-0.2443,-0.06652,0.7594,-1.062,2.166,13.08,-5.994,3.671,2.144,0.6198,4.258,-5.43,-6.62,-4.621,10.4,13.1,8.974,8.823,7.852,12.49,14.58,17.99,3.849
527,0.588,3.978,3.985,4.9,-0.6002,0.1613,3.053,-1.6,0.5295,12.37,-8.02,3.591,2.484,0.8039,3.536,4.539,-6.1,-4.376,13.02,14.75,7.607,9.142,13.66,12.62,8.409,17.46,3.227
539.9,0.5173,3.193,0.6805,4.491,-0.4314,0.01417,0.9099,-1.439,4.815,8.921,-8.02,3.485,3.274,0.9702,2.302,5.151,-6.007,-3.983,11.05,8.59,6.025,10.19,11.56,11.65,6.774,17.18,3.79
517.4,0.6297,3.115,2.294,4.814,-0.4445,-0.05371,1.39,-1.275,4.409,10.81,-7.114,4.116,3.994,0.8503,2.449,12.97,-5.983,-4.435,11.25,10.34,9.784,10.54,7.614,10.97,9.007,16.6,2.557
524.6,0.539,4.192,0.3614,4.925,-0.5907,-0.2353,2.109,-0.7976,4.678,11.67,-6.933,4.294,4.53,1.19,2.558,15.91,-6.007,-4.784,11.41,12.53,12.81,9.563,13.49,10.36,7.892,18.56,2.509
532.4,0.5558,5.102,1.206,4.666,-0.722,-0.4753,1.801,0.03169,2.988,12.86,-6.461,4.518,4.568,0.883,2.412,3.721,-6.099,-5.146,11.39,8.494,12.81,8.922,16.54,9.526,6.978,18.87,4.581
533.6,0.534,5.113,1.658,4.989,-0.8956,-0.4536,1.424,-1.846,3.335,11.53,-6.511,4.701,4.798,0.7207,2.566,4.549,-6.267,-5.074,11.44,8.586,8.612,9.09,9.526,11.06,5.984,18.56,3.9
523.7,0.6475,4.854,2.615,4.902,-0.4813,-0.09712,2.806,-1.251,3.253,8.832,-7.033,4.639,4.838,0.4455,3.141,4.834,-6.548,-4.434,11.31,15.37,9.861,8.561,7.142,10.16,7.92,18.01,4.839
527.5,0.4873,4.544,2.31,4.967,-0.6093,-0.2479,1.206,-1.027,2.948,10.91,-6.12,4.573,5.53,0.5318,2.712,4.672,-6.42,-3.865,14.35,11.95,9.801,9.388,14.32,10.15,10.13,17.62,4.423
528.6,0.5354,4.605,2.136,4.581,-0.4323,-0.1147,2.866,0.2332,2.198,12.25,-5.976,4.745,5.423,0.524,2.585,4.672,-6.857,-3.977,15.53,11.74,9.88,9.677,7.752,10.77,14.13,18.06,2.881
525.3,0.7096,3.195,3.245,4.907,-0.873,-0.4537,3.023,-0.8439,1.945,11.46,-5.436,5.68,5.239,-0.01732,2.584,-3.596,-6.9,-4.223,16.76,8.72,10.68,9.742,11.71,10.11,11.14,17.47,2.639
531.7,0.582,4.892,0.6311,4.873,-0.7333,-0.3435,1.787,-2.07,2.033,13.22,-4.809,5.622,5.114,0.1227,2.584,-6.178,-6.576,-4.096,16.2,10.35,11.24,9.889,13.17,10.26,11.69,16.41,2.129
539.1,0.5965,3.364,1.526,4.956,-0.7426,-0.3819,1.016,-1.668,1.622,10.62,-3.883,6.03,5.576,0.17,2.481,4.088,-6.061,-4.665,18.02,7.273,11.62,9.858,16.49,11.19,11.74,19.04,4.834
539.5,0.6174,4.806,0.9897,4.844,-0.8786,-0.4888,0.5424,-1.556,1.765,11.12,-3.883,6.106,5.491,0.3127,2.304,-3.095,-6.446,-4.472,17.88,14,11.28,8.36,11.27,12.29,10.91,18.65,4.492
514.8,0.7567,4.06,1.496,4.821,-0.6549,-0.1768,3.206,-2.582,1.155,10.51,-4.751,6.29,5.231,0.739,2.513,-3.051,-6.404,-5.975,17.28,9.972,11.24,8.112,12.09,12.24,11.2,18.65,4.538
514.7,0.819,4.181,1.921,4.94,-0.7888,-0.2652,2.438,0.2177,1.743,10.75,-6.234,6.422,4.335,0.9006,1.876,4.538,-6.502,-5.064,16.8,14.59,11.86,8.24,13.02,14.54,6.983,18.6,3.381
535.8,0.4503,3.685,1.495,4.875,-0.6366,-0.3169,2.374,1.679,2.63,9.449,-6.236,6.14,4.208,1.069,2.949,-15.66,-6.38,-4.799,16.64,12.05,11.32,9.643,9.622,12.91,5.812,18.6,3.977
525.1,0.8871,4.098,2.058,4.862,-0.8804,-0.4164,0.6567,-1.511,2.199,13.06,-5.818,6.574,4.524,1.022,1.349,-10.1,-6.354,-4.733,15.63,13.33,12.04,9.066,10.28,11.65,5.213,18.55,4.533
541.8,0.5782,4.176,1.922,4.943,-0.8001,-0.6199,0.3078,-1.067,3.24,12.62,-6.338,6.901,4.768,0.9998,1.924,-10.86,-6.11,-3.885,16.25,12.33,11.88,8.81,10.92,11.74,3.054,17.98,4.9
549.2,0.4111,6.465,0.9649,4.931,-0.602,-0.06952,0.7717,-1.072,4.297,12.33,-6.168,6.898,4.107,1.166,2.371,-20.76,-6.142,-3.929,15.8,14.72,14.46,9.478,15.38,13.07,3.759,18.01,3.939
540.7,0.583,5.334,1.373,4.855,-0.6679,-0.1935,0.206,-1.662,2.245,11.87,-6.605,7.31,3.35,1.255,1.773,-15.65,-6.348,-4.349,15.83,15.11,16.19,8.764,9.99,14.23,4.137,19.31,4.585
544.4,0.5794,3.037,3.3,4.972,-0.7303,-0.2815,0.05459,-1.529,2.558,10.74,-6.605,6.772,3.764,1.342,2.427,-15.13,-6.283,-4.954,15.35,13.59,12.54,9.014,6.484,14.38,6.114,19.58,3.799
544.2,0.6191,7.267,0.9619,4.984,-0.6291,-0.07991,0.1226,-1.674,0.9468,12.35,-6.619,6.06,3.834,1.357,2.879,-18.02,-6.637,-5.258,16.58,13.53,10.4,8.635,12.97,13.05,8.591,19.62,3.818
551.4,0.5106,1.308,1.294,4.915,-0.5763,0.06929,0.02673,-1.578,3.062,13.96,-6.732,6.472,4.05,1.195,3.012,-17.24,-6.543,-5.312,16.52,14.68,13.32,9.356,11.7,11.54,9.818,19.77,3.022
545.4,0.4527,4.369,4.179,4.99,-0.4405,-0.08303,0.01971,-1.58,3.695,10.75,-6.582,6.077,4.624,1.058,3.219,-16.47,-6.634,-5.325,16.49,9.079,10.56,8.529,9.328,11.69,7.137,18.76,3.787
548.2,0.4425,4.19,1.69,4.819,-0.5691,-0.1848,0.009031,-1.579,3.564,14.16,-7.128,5.654,4.89,1.143,2.579,-29.07,-6.686,-4.431,17.81,17.06,13.72,8.715,13.83,10.9,8.559,17.5,4.39
534,0.7508,3.216,1.376,4.854,-0.7603,-0.3067,0.02376,-1.594,4.546,12.98,-6.578,6.793,5.835,0.8316,2.024,-2.343,-6.933,-4.351,15.19,10.04,14.61,9.254,17.63,10.73,8.403,17.9,4.059
564.9,0.3478,3.093,3.905,4.482,-0.4773,-0.3067,0.01482,-1.572,4.253,13.18,-6.231,6.918,5.447,0.7476,3.188,-7.807,-6.872,-4.351,16.95,12.92,9.732,10.8,12.97,9.335,8.478,18.17,4.134
