"deviance","gbar","grain","gtemp","msig","rbar","saut","sbar","sbd","sclay","selev","sfpc","sgnat","sgpad","spaw","srden","sveg[1]","sveg[2]","sveg[3]","sveg[4]","sveg[5]","sveg[6]","sveg[7]","sveg[8]","vsig"
437.1,3.137,-1.419,-0.8846,0.1612,-0.7099,2.201,8.061,-1.587,1.467,-10.18,6.773,0.09147,-10.5,-3.15,7.895,4.218,7.302,7.552,4.56,5.793,5.054,5.572,7.703,2.358
448,2.835,-1.107,-0.6771,0.1747,-0.5989,2.862,6.191,-1.762,1.531,-9.945,6.635,-0.3677,-16.39,-3.243,7.469,4.641,5.974,7.535,4.239,7.206,5.054,6.504,7.795,0.8759
424.7,2.98,-0.929,-0.769,0.606,-0.2424,3.311,5.911,-2.295,1.653,-9.648,6.69,-0.2141,-12,-3.392,8.872,4.398,5.974,7.535,5.156,9.197,5.288,4.343,8.09,1.896
449.2,2.768,-1.057,-0.4458,0.1341,-0.5484,2.633,6.972,-2.029,1.789,-9.746,6.555,-0.2809,-1.797,-3.373,8.963,5.047,5.634,7.061,5.667,9.197,5.779,4.301,8.523,2.802
464.2,2.674,-0.7522,-0.8412,0.8192,0.0115,2.998,6.027,-1.777,1.49,-9.934,6.444,-0.8137,-1.715,-3.373,9.066,4.381,3.729,4.906,5.475,7.766,7.321,6.386,8.084,2.349
435.3,2.611,-0.6033,-0.5316,0.4138,-0.3536,3.496,7.209,-1.97,1.396,-10.26,6.693,-0.7682,-2.896,-3.281,9.324,5.156,5.035,5.183,5.475,6.961,6.363,6.976,7.699,1.706
455.5,2.706,-1.029,-0.6493,0.5444,-0.5271,3.56,6.565,-2.111,1.329,-10.6,7.293,-0.8664,-8.638,-3.496,9.152,4.874,6.298,7.935,6.925,6.961,6.857,6.701,7.9,0.8058
447.4,2.706,-0.7985,-0.5825,0.2096,-0.7246,4.666,6.771,-2.784,1.1,-10.85,7.353,-0.8211,-8.049,-3.277,9.656,5.011,7.922,7.003,5.359,7.963,7.846,7.195,7.983,1.493
444.4,2.686,-0.7985,-0.3615,0.8872,-0.6363,4.758,7.155,-2.57,1.401,-10.77,7.647,-0.6274,-3.247,-3.487,9.176,5.166,8.715,7.032,6.956,9.854,7.611,6.552,8.023,1.417
443.1,2.65,-0.8019,-0.5175,0.3439,-0.3276,1.675,6.988,-2.135,1.55,-10.84,7.683,-0.4094,-6.163,-3.538,9.214,6.742,7.588,7.032,6.956,8.095,7.265,6.591,8.286,1.075
