deviance	1	2000
gbar	2001	4000
grain	4001	6000
gtemp	6001	8000
msig	8001	10000
rbar	10001	12000
saut	12001	14000
sbar	14001	16000
sbd	16001	18000
sclay	18001	20000
selev	20001	22000
sfpc	22001	24000
sgnat	24001	26000
sgpad	26001	28000
spaw	28001	30000
srden	30001	32000
vsig	32001	34000
